seed,target,method,setting,family,eer,auc,acc,n,minutes
0,asvspoof2019,source,transductive,xlsr,4.695,0.9908,92.92,5580,0.4
0,arabic,source,transductive,xlsr,20.911,0.8702,71.53,5570,0.4
1,asvspoof2019,source,transductive,xlsr,5.896,0.9863,81.02,5580,0.4
1,dataset2,source,transductive,xlsr,32.809,0.7362,68.27,4447,0.3
1,in_the_wild,source,transductive,xlsr,12.3,0.9474,73.85,6000,0.4
1,arabic,source,transductive,xlsr,22.834,0.8453,63.29,5570,0.4
2,asvspoof2019,source,transductive,xlsr,3.514,0.9935,78.37,5580,0.4
2,dataset2,source,transductive,xlsr,33.394,0.7373,66.45,4447,0.3
2,in_the_wild,source,transductive,xlsr,12.467,0.9395,72.15,6000,0.4
2,arabic,source,transductive,xlsr,21.887,0.865,67.16,5570,0.4
0,asvspoof2019,ours_E8,transductive,xlsr,3.996,0.9926,88.35,5580,10.0
0,asvspoof2019,ours_E16,transductive,xlsr,3.835,0.9934,88.85,5580,19.6
0,asvspoof2019,ours_E32,transductive,xlsr,3.674,0.9931,89.61,5580,39.1
0,asvspoof2019,ours_E64,transductive,xlsr,4.16,0.9906,90.02,5580,77.8
0,dataset2,source,transductive,xlsr,37.238,0.6866,59.23,4447,0.3
0,dataset2,ours_E8,transductive,xlsr,37.441,0.6889,62.78,4447,8.0
0,dataset2,ours_E16,transductive,xlsr,37.126,0.6907,63.21,4447,15.7
0,dataset2,ours_E32,transductive,xlsr,37.688,0.6801,62.27,4447,31.1
0,dataset2,ours_E64,transductive,xlsr,37.598,0.6741,62.56,4447,61.9
0,in_the_wild,source,transductive,xlsr,12.783,0.9424,87.17,6000,0.4
0,in_the_wild,ours_E8,transductive,xlsr,12.867,0.95,87.17,6000,10.8
0,in_the_wild,ours_E16,transductive,xlsr,12.033,0.9529,87.23,6000,21.1
0,in_the_wild,ours_E32,transductive,xlsr,11.833,0.9527,87.73,6000,41.8
0,in_the_wild,ours_E64,transductive,xlsr,11.433,0.9536,88.47,6000,83.3
0,arabic,ours_E8,transductive,xlsr,19.283,0.8895,80.32,5570,10.0
0,arabic,ours_E16,transductive,xlsr,18.261,0.8986,81.69,5570,19.7
0,arabic,ours_E32,transductive,xlsr,17.288,0.9059,82.64,5570,39.0
0,arabic,ours_E64,transductive,xlsr,15.907,0.9177,83.75,5570,77.8
1,asvspoof2019,ours_E8,transductive,xlsr,4.14,0.9932,89.8,5580,10.1
1,asvspoof2019,ours_E16,transductive,xlsr,3.799,0.994,88.42,5580,19.8
1,asvspoof2019,ours_E32,transductive,xlsr,3.713,0.9944,85.22,5580,39.1
1,asvspoof2019,ours_E64,transductive,xlsr,4.301,0.9939,84.66,5580,77.9
1,dataset2,ours_E8,transductive,xlsr,32.157,0.7399,67.93,4447,8.0
1,dataset2,ours_E16,transductive,xlsr,32.944,0.7303,66.52,4447,15.8
1,dataset2,ours_E32,transductive,xlsr,33.551,0.7232,66.61,4447,31.2
1,dataset2,ours_E64,transductive,xlsr,33.596,0.7259,66.99,4447,62.1
1,in_the_wild,ours_E8,transductive,xlsr,9.233,0.9734,91.08,6000,10.8
1,in_the_wild,ours_E16,transductive,xlsr,8.25,0.9782,90.82,6000,21.2
1,in_the_wild,ours_E32,transductive,xlsr,8.283,0.9779,92.02,6000,42.1
1,in_the_wild,ours_E64,transductive,xlsr,8.583,0.9769,90.75,6000,83.8
1,arabic,ours_E8,transductive,xlsr,19.444,0.8792,80.38,5570,10.0
1,arabic,ours_E16,transductive,xlsr,18.6,0.888,81.33,5570,19.8
1,arabic,ours_E32,transductive,xlsr,17.683,0.8944,81.85,5570,39.1
1,arabic,ours_E64,transductive,xlsr,15.618,0.911,84.0,5570,77.9
2,asvspoof2019,ours_E8,transductive,xlsr,2.615,0.9963,91.72,5580,10.1
2,asvspoof2019,ours_E16,transductive,xlsr,2.474,0.9965,88.48,5580,19.8
2,asvspoof2019,ours_E32,transductive,xlsr,2.149,0.997,87.94,5580,39.2
2,asvspoof2019,ours_E64,transductive,xlsr,2.402,0.9962,87.54,5580,78.0
2,dataset2,ours_E8,transductive,xlsr,34.788,0.7202,65.57,4447,8.0
2,dataset2,ours_E16,transductive,xlsr,34.248,0.722,65.77,4447,15.8
2,dataset2,ours_E32,transductive,xlsr,34.271,0.7173,65.68,4447,31.2
2,dataset2,ours_E64,transductive,xlsr,35.934,0.6917,64.22,4447,62.2
2,in_the_wild,ours_E8,transductive,xlsr,10.483,0.9652,89.5,6000,10.9
2,in_the_wild,ours_E16,transductive,xlsr,10.917,0.9639,88.67,6000,21.3
2,in_the_wild,ours_E32,transductive,xlsr,10.533,0.9677,89.28,6000,42.2
2,in_the_wild,ours_E64,transductive,xlsr,10.267,0.9712,89.5,6000,83.9
2,arabic,ours_E8,transductive,xlsr,19.819,0.8878,80.47,5570,10.1
2,arabic,ours_E16,transductive,xlsr,18.994,0.8964,80.86,5570,19.8
2,arabic,ours_E32,transductive,xlsr,18.241,0.9044,81.76,5570,39.2
2,arabic,ours_E64,transductive,xlsr,16.966,0.9123,82.71,5570,78.0
