target,seed,eer,auc,acc_shipped,acc_otsu,acc_median,acc_oracle,bacc_shipped,bacc_otsu,bacc_median,bacc_oracle,t_otsu,t_median,t_oracle
asvspoof2019,0,4.6949612403100796,0.9907932816537468,92.92114695340501,93.06451612903226,94.51612903225806,95.3763440860215,92.48875968992247,92.6437984496124,94.76976744186047,95.4829457364341,0.509765625,0.9936918020248413,0.9247
asvspoof2019,1,5.89573643410853,0.9862561369509044,81.02150537634408,82.20430107526882,93.69175627240143,94.12186379928316,79.51472868217053,80.79922480620155,93.9406976744186,94.18875968992249,0.568359375,0.9996775388717651,0.9989
asvspoof2019,2,3.5135658914728696,0.9934936046511629,78.36917562724014,79.83870967741935,95.3942652329749,96.37992831541219,76.62209302325581,78.21124031007751,95.6515503875969,96.36124031007752,0.556640625,0.999988317489624,0.9997
asvspoof2019,3,3.4581395348837187,0.9934908268733849,84.19354838709677,85.77060931899642,95.6989247311828,96.7921146953405,82.93682170542635,84.65310077519379,95.95930232558139,96.86201550387597,0.568359375,0.9992143213748932,0.9955
asvspoof2019,4,4.658914728682169,0.9894926356589149,86.0394265232975,86.7741935483871,93.9247311827957,95.3584229390681,84.9437984496124,85.74108527131783,94.1736434108527,95.3686046511628,0.548828125,0.9998928308486938,0.9989
asvspoof2019,5,6.006589147286821,0.9852594961240311,81.7741935483871,82.02508960573476,93.69175627240143,94.05017921146953,80.35852713178295,80.63255813953488,93.9406976744186,94.10038759689922,0.521484375,0.9999344348907471,0.9997
asvspoof2019,6,5.288372093023255,0.9872693798449611,66.50537634408602,69.12186379928316,94.48028673835125,94.98207885304659,63.78720930232558,66.62751937984497,94.731007751938,95.07286821705426,0.626953125,0.9998756647109985,0.9996
asvspoof2019,7,3.208527131782947,0.9951839793281654,94.87455197132616,95.01792114695341,95.3405017921147,96.97132616487455,94.57945736434108,94.73720930232558,95.59883720930232,97.03139534883721,0.509765625,0.9930421710014343,0.9185
asvspoof2019,8,4.0988372093023235,0.9922819767441862,91.0931899641577,91.11111111111111,95.44802867383513,96.25448028673836,90.47674418604652,90.49612403100775,95.70697674418605,96.37015503875969,0.501953125,0.9998756051063538,0.9986
asvspoof2019,9,6.827519379844962,0.9829929586563307,72.97491039426524,73.62007168458781,93.13620071684588,93.44086021505376,70.78604651162792,71.48643410852713,93.38062015503877,93.55503875968992,0.548828125,0.9997965693473816,0.9996
dataset2,0,37.238389024005734,0.6865769067159482,59.23094220823026,59.34337755790421,62.78389925792669,64.40296829323138,59.70607127288976,59.80987784438505,62.79075250303456,64.05705303879344,0.525390625,0.9941800832748413,0.9999
dataset2,1,32.80870489792168,0.7362324498188976,68.27074432201485,68.20328311221047,67.07892961547111,68.94535642005847,68.07807784106616,68.01415873470728,67.08851050774658,68.61711514262552,0.490234375,0.22337706387043,0.7163
dataset2,2,33.393670460326845,0.7372543257966059,66.44929165729705,66.58421407690578,66.74162356644929,67.61861929390601,66.53212995016395,66.64974839124605,66.75051938700798,67.27487462060363,0.521484375,0.6057990789413452,0.9607
dataset2,3,37.03641193329343,0.6899698708989878,56.35259725657746,56.532493816055776,62.87384753766584,64.83022262199235,57.002020883951566,57.15543888151582,62.881769182106616,64.49361942218019,0.548828125,0.9884918928146362,0.9998
dataset2,4,38.67728227737796,0.6673764854589851,54.39622217225095,55.273217899707674,61.20980436249157,65.36991230042726,54.98587243053692,55.79535929276752,61.21584521963606,64.92485331086198,0.583984375,0.9500414729118347,0.9984
dataset2,5,41.53308109722707,0.6139450908871612,54.84596357094671,54.958398920620645,58.51135597031707,59.973015516078256,55.238604347511085,55.340366964679255,58.51600416238145,59.57930563026444,0.529296875,0.9648551344871521,0.9998
dataset2,6,36.76642782756797,0.7049612640299251,55.36316617944682,55.857881718012145,63.18866651675287,65.86462783899259,56.16128782883886,56.629687283082816,63.19675063878631,65.463769189392,0.576171875,0.9980121850967407,0.9999
dataset2,7,35.709501068725025,0.6958762917892534,63.61592084551383,63.79581740499213,64.26804587362267,66.96649426579717,63.656417753503966,63.82823134001241,64.2756650845246,66.61679215736748,0.513671875,0.5860491394996643,0.9881
dataset2,8,30.604856678327323,0.7515303349130469,60.17539914549134,61.09736901281762,69.28266246908028,70.04722284686305,60.750147427794786,61.63426897872304,69.2933807045045,69.78841227651586,0.564453125,0.9924227595329285,0.9999
dataset2,9,35.01255311751604,0.7225966436246232,65.88711490892737,65.77467955925343,64.98763211153586,66.561727006971,65.70139405779979,65.59554353197737,64.99664467695605,66.21692588459712,0.486328125,0.10087861120700836,0.8515
in_the_wild,0,12.783333333333335,0.9423819444444446,87.16666666666667,87.18333333333334,87.18333333333334,87.55,87.16666666666667,87.18333333333334,87.18333333333334,87.55,0.505859375,0.9670388102531433,0.8395
in_the_wild,1,12.3,0.9474251666666668,73.85000000000001,74.03333333333333,87.7,87.11666666666666,73.85,74.03333333333333,87.7,87.11666666666666,0.521484375,0.9999951720237732,0.9999
in_the_wild,2,12.466666666666667,0.9394881666666666,72.15,72.35000000000001,87.53333333333333,87.56666666666668,72.15,72.35000000000001,87.53333333333333,87.56666666666668,0.525390625,0.9998902082443237,0.9998
in_the_wild,3,13.083333333333336,0.9456724444444444,73.71666666666667,73.9,86.91666666666666,87.11666666666666,73.71666666666667,73.9,86.91666666666666,87.11666666666666,0.521484375,0.9999885559082031,0.9999
in_the_wild,4,10.266666666666666,0.9643667777777778,86.78333333333333,86.86666666666667,89.7,89.91666666666667,86.78333333333333,86.86666666666667,89.7,89.91666666666667,0.509765625,0.9972206950187683,0.9912
in_the_wild,5,10.783333333333333,0.9599331111111111,86.41666666666666,86.45,89.23333333333333,89.68333333333334,86.41666666666666,86.45,89.23333333333333,89.68333333333334,0.505859375,0.9931295216083527,0.982
in_the_wild,6,7.916666666666669,0.9738654999999999,79.5,79.78333333333333,92.08333333333333,92.06666666666666,79.5,79.78333333333335,92.08333333333334,92.06666666666668,0.517578125,0.9999030828475952,0.9999
in_the_wild,7,9.866666666666667,0.9612722777777778,80.95,81.13333333333334,90.13333333333333,90.21666666666667,80.95,81.13333333333334,90.13333333333333,90.21666666666667,0.517578125,0.9999393820762634,0.9997
in_the_wild,8,9.066666666666668,0.9689177222222222,84.91666666666666,85.06666666666666,90.93333333333334,91.0,84.91666666666666,85.06666666666666,90.93333333333334,90.99999999999999,0.517578125,0.9942697286605835,0.9924
in_the_wild,9,13.399999999999999,0.9382847777777777,82.51666666666667,82.55,86.61666666666666,86.63333333333333,82.51666666666667,82.54999999999998,86.61666666666666,86.63333333333334,0.505859375,0.9999397993087769,0.9999
arabic,0,20.91134889753567,0.8702225032425421,71.52603231597845,72.19030520646321,78.76122082585279,79.13824057450628,69.56225680933852,70.30719844357976,78.92529182879377,79.09974059662775,0.548828125,0.9980121850967407,0.9952
arabic,1,22.834111543450064,0.8453049286640726,63.28545780969479,63.71633752244165,77.19928186714542,77.19928186714542,60.41757457846953,60.91238651102464,77.3609597924773,77.28067444876783,0.564453125,0.9998706579208374,0.9998
arabic,2,21.886640726329443,0.8649775616083009,67.16337522441653,68.49192100538599,78.06104129263913,78.1867145421903,64.74818417639429,66.24364461738003,78.22788586251622,78.57153047989624,0.591796875,0.9990890026092529,0.9979
arabic,3,19.94442282749676,0.8766757457846952,72.38779174147217,73.21364452423698,79.69479353680431,80.17953321364453,70.55188067444877,71.48028534370947,79.87282749675745,80.14156939040207,0.552734375,0.9888848662376404,0.9815
arabic,4,20.880804150453958,0.8756559662775617,72.35188509874327,72.47755834829444,79.3177737881508,79.33572710951526,70.53249027237354,70.67704280155642,79.489364461738,79.4476653696498,0.525390625,0.9990302324295044,0.9966
arabic,5,21.897730220492868,0.8577717250324255,61.184919210053856,61.759425493716336,78.1867145421903,76.39138240574506,58.010246433203626,58.66070038910506,78.35291828793774,75.54293125810636,0.587890625,0.9999943971633911,0.9999
arabic,6,17.666018158236056,0.9035385214007782,79.76660682226212,80.01795332136446,82.20825852782765,82.49551166965888,78.91050583657588,79.219130998703,82.40136186770428,82.57619974059662,0.525390625,0.9192763864994049,0.8806516187318626
arabic,7,23.578793774319067,0.8370708171206226,62.06463195691203,62.872531418312384,76.22980251346499,76.48114901256733,59.10577172503243,60.059338521400775,76.38566796368353,76.50006485084306,0.599609375,0.9995827078819275,0.9993
arabic,8,19.099740596627758,0.8861001945525291,66.92998204667863,69.53321364452424,80.73608617594255,81.14901256732495,64.30006485084306,67.20752269779507,80.92036316472114,81.21167315175097,0.630859375,0.998364269733429,0.9976
arabic,9,21.664332036316473,0.8606761348897536,66.92998204667863,67.3249551166966,78.45601436265709,78.52782764811491,64.44507133592737,64.91770428015565,78.61964980544747,78.5697795071336,0.564453125,0.999779999256134,0.9996
asvspoof2021la,0,25.766666666666673,0.8637105,73.88333333333334,73.83333333333333,74.26666666666667,74.8,73.88333333333334,73.83333333333333,74.26666666666667,74.8,0.564453125,0.25832599401474,0.2234
asvspoof2021la,1,29.566666666666663,0.8316092222222222,72.21666666666667,72.26666666666667,70.78333333333333,73.53333333333333,72.21666666666667,72.26666666666667,70.78333333333333,73.53333333333335,0.529296875,0.12463856488466263,0.9945
asvspoof2021la,2,27.98333333333333,0.8434657222222222,74.41666666666666,74.31666666666666,72.26666666666667,74.48333333333333,74.41666666666666,74.31666666666668,72.26666666666667,74.48333333333333,0.486328125,0.007695647422224283,0.5477
asvspoof2021la,3,25.783333333333335,0.8588018888888889,72.5,72.35000000000001,74.21666666666667,74.63333333333333,72.5,72.35000000000001,74.21666666666667,74.63333333333333,0.595703125,0.38142114877700806,0.025
asvspoof2021la,4,26.816666666666666,0.8558014444444444,73.71666666666667,73.75,73.18333333333334,74.63333333333333,73.71666666666667,73.75,73.18333333333334,74.63333333333333,0.615234375,0.42298126220703125,0.9611
asvspoof2021la,5,27.749999999999996,0.8460255,72.95,72.95,72.25,73.03333333333333,72.95,72.95,72.25,73.03333333333333,0.498046875,0.02822098508477211,0.5076
asvspoof2021la,6,25.6,0.8639762777777777,73.71666666666667,73.76666666666667,74.4,74.55000000000001,73.71666666666667,73.76666666666667,74.4,74.55000000000001,0.580078125,0.30074557662010193,0.2971
asvspoof2021la,7,27.316666666666666,0.8445783888888889,72.89999999999999,72.88333333333334,72.68333333333334,73.15,72.89999999999999,72.88333333333334,72.68333333333334,73.15,0.490234375,0.016979990527033806,0.0154
