target,seed,pred_rate,near_thresh,otsu,otsu_gap,score_mean,score_median,score_std,eer,auc,acc,deficit
asvspoof2019,0,0.589426523297491,0.02007168458781362,0.509765625,0.009765625,0.593873498426475,0.9936918020248413,0.4634859862759464,4.6949612403100796,0.9907932816537468,92.92114695340501,2.3838918062849075
asvspoof2019,1,0.7224014336917562,0.03781362007168459,0.568359375,0.068359375,0.7383777184688773,0.9996775388717651,0.3800702876452941,5.89573643410853,0.9862561369509044,81.02150537634408,13.082758189547391
asvspoof2019,2,0.7521505376344086,0.044623655913978495,0.556640625,0.056640625,0.7521106575682834,0.999988317489624,0.3765776106797065,3.5135658914728696,0.9934936046511629,78.36917562724014,18.117258481286996
asvspoof2019,3,0.6913978494623656,0.05,0.568359375,0.068359375,0.7078370761140877,0.9992143213748932,0.3899415283684144,3.4581395348837187,0.9934908268733849,84.19354838709677,12.348312078019518
asvspoof2019,4,0.6718637992831541,0.03620071684587814,0.548828125,0.048828125,0.6909576227555136,0.9998928308486938,0.41226581898881015,4.658914728682169,0.9894926356589149,86.0394265232975,9.301658748020344
asvspoof2019,5,0.710752688172043,0.02078853046594982,0.521484375,0.021484375,0.711752262312828,0.9999344348907471,0.4232799675365736,6.006589147286821,0.9852594961240311,81.7741935483871,12.21921730432608
asvspoof2019,6,0.871505376344086,0.044802867383512544,0.626953125,0.126953125,0.8621072071864448,0.9998756647109985,0.2657668213138395,5.288372093023255,0.9872693798449611,66.50537634408602,28.206251562890728
asvspoof2019,7,0.5727598566308244,0.025268817204301075,0.509765625,0.009765625,0.5771398747068628,0.9930421710014343,0.4704578194786229,3.208527131782947,0.9951839793281654,94.87455197132616,1.9169208968909004
asvspoof2019,8,0.6123655913978494,0.015053763440860216,0.501953125,0.001953125,0.6144179148161294,0.9998756051063538,0.46471033645979887,4.0988372093023235,0.9922819767441862,91.0931899641577,4.807972826539981
asvspoof2019,9,0.8064516129032258,0.02992831541218638,0.548828125,0.048828125,0.8050552936020725,0.9997965693473816,0.3529075398393794,6.827519379844962,0.9829929586563307,72.97491039426524,20.197570225889805
dataset2,0,0.706768608050371,0.027883966719136496,0.525390625,0.025390625,0.705131182630276,0.9941800832748413,0.412833990806827,37.238389024005734,0.6865769067159482,59.23094220823026,3.5306687677640056
dataset2,1,0.41106363840791543,0.05576793343827299,0.490234375,0.009765625,0.41895844587370024,0.22337706387043,0.42801545881628056,32.80870489792168,0.7362324498188976,68.27074432201485,-1.0794492199365209
dataset2,2,0.532493816055768,0.06228918371936137,0.521484375,0.021484375,0.5417506088413958,0.6057990789413452,0.4230086672205199,33.393670460326845,0.7372543257966059,66.44929165729705,0.15703788237610183
dataset2,3,0.7843489993253879,0.04025185518326962,0.548828125,0.048828125,0.7714584936070857,0.9884918928146362,0.3568124766201125,37.03641193329343,0.6899698708989878,56.35259725657746,6.61099081012911
dataset2,4,0.7582639982010344,0.07398246008545087,0.583984375,0.083984375,0.7450140507225166,0.9500414729118347,0.33902719249012014,38.67728227737796,0.6673764854589851,54.39622217225095,6.9264955503710866
dataset2,5,0.6712390375534067,0.03980211378457387,0.529296875,0.029296875,0.6719125979927144,0.9648551344871521,0.4117204947558738,41.53308109722707,0.6139450908871612,54.84596357094671,3.6209553318262238
dataset2,6,0.8500112435349674,0.03530469979761637,0.576171875,0.076171875,0.8410104520090551,0.9980121850967407,0.3046164429740957,36.76642782756797,0.7049612640299251,55.36316617944682,7.870405992985205
