seed,target,variant,epoch,eer,auc,acc,pi_hat,n_conf,rho_src,prior_gap,pred_rate,churn,conf,tail_gap
0,in_the_wild,ours,0,10.9375,0.9586181640625,86.71875,0.7392638036809815,0,1.0,0.10645130368098155,0.6328125,,0.9558690786361694,0.8067479997873306
0,in_the_wild,ours,1,10.9375,0.960205078125,89.0625,0.7392638036809815,78,0.9991644343416891,0.14551380368098155,0.59375,0.0390625,0.9585452675819397,0.975104259699583
0,in_the_wild,ours,2,10.15625,0.96044921875,91.40625,0.7392638036809815,78,0.9983203328931933,0.18457630368098155,0.5546875,0.078125,0.9490687251091003,0.9944876867812127
0,in_the_wild,tent,0,10.9375,0.9586181640625,86.71875,0.7392638036809815,0,1.0,0.10645130368098155,0.6328125,,0.9558690786361694,0.8067479997873306
0,in_the_wild,tent,1,10.15625,0.958740234375,87.5,0.7392638036809815,0,0.9962661082119101,0.11426380368098155,0.625,0.0078125,0.9777947664260864,0.934148620069027
0,in_the_wild,tent,2,9.375,0.95703125,87.5,0.7392638036809815,0,0.9901714229812474,0.11426380368098155,0.625,0.0078125,0.9856997728347778,0.9894636548124254
