seed,target,variant,epoch,eer,auc,acc,pi_hat,n_conf,rho_src,prior_gap,pred_rate,churn,conf,tail_gap
0,asvspoof2019,ours,0,4.6949612403100796,0.9907932816537468,92.92114695340501,0.740235311140653,0,1.0,0.15080878784316198,0.589426523297491,,0.9630876779556274,0.9735037920996547
0,asvspoof2019,ours,1,4.550775193798448,0.9908640180878553,84.85663082437276,0.740235311140653,3414,0.9843529279288984,0.3529593254775706,0.3872759856630824,0.2021505376344086,0.9815638065338135,0.9989350403380194
0,asvspoof2019,ours,2,4.445348837209302,0.9914229974160206,82.22222222222221,0.740235311140653,3349,0.9827376274805623,0.38037868031628025,0.35985663082437275,0.2295698924731183,0.9804477691650391,0.9916195865203916
0,asvspoof2019,ours,3,4.389922480620157,0.9916580749354005,87.1505376344086,0.740235311140653,3349,0.9838426876252467,0.33002025737721213,0.41021505376344086,0.022939068100358423,0.9769758582115173,0.9996782887158794
0,asvspoof2019,ours,4,4.22906976744186,0.9920965762273902,89.06810035842294,0.740235311140653,3352,0.9818322462810888,0.3104862071980007,0.4297491039426523,0.06989247311827956,0.9745393991470337,0.9993785605569631
0,asvspoof2019,ours,5,4.156976744186045,0.992184819121447,88.36917562724015,0.740235311140653,3355,0.9814463303669759,0.3174754545098286,0.4227598566308244,0.015053763440860216,0.9726528525352478,0.9992120553619785
0,asvspoof2019,ours,6,4.14031007751938,0.9922401808785529,88.2078853046595,0.740235311140653,3351,0.9811104767961712,0.3198052036137713,0.4204301075268817,0.011111111111111112,0.9723283052444458,0.9988230221300916
0,asvspoof2019,ours,7,4.032170542635659,0.9924922480620155,89.55197132616487,0.740235311140653,3351,0.9818964851545676,0.3060059204596494,0.4342293906810036,0.011827956989247311,0.9735679030418396,0.9997287730881393
0,asvspoof2019,ours,8,3.996124031007754,0.9926129844961241,88.35125448028674,0.740235311140653,3351,0.979429521760932,0.3180130889184308,0.4222222222222222,0.007885304659498209,0.9725818634033203,0.9987933584034936
0,asvspoof2019,ours,9,4.015503875968994,0.9926916020671835,88.51254480286738,0.740235311140653,3349,0.9784298867307194,0.3167586086316924,0.4234767025089606,0.013620071684587814,0.9703277349472046,0.9983334189494639
0,asvspoof2019,ours,10,3.851937984496122,0.9929884366925065,89.6057347670251,0.740235311140653,3348,0.9769360618062681,0.30546828605104726,0.43476702508960574,0.015770609318996417,0.9731625318527222,0.9991480137050338
0,asvspoof2019,ours,11,3.7992248062015523,0.9932302325581395,85.14336917562724,0.740235311140653,3350,0.9761941396647409,0.35080878784316194,0.38942652329749106,0.034050179211469536,0.9811316132545471,0.9970650070174564
0,asvspoof2019,ours,12,3.8713178294573622,0.9932854651162791,90.19713261648745,0.740235311140653,3354,0.9770748541081371,0.2995543075564236,0.4406810035842294,0.00878136200716846,0.9787984490394592,0.9998471621946043
0,asvspoof2019,ours,13,3.996124031007754,0.9931267441860465,90.0,0.740235311140653,3349,0.9766469978426261,0.3018840566603663,0.4383512544802867,0.0489247311827957,0.9806637167930603,0.9998766170545342
0,asvspoof2019,ours,14,3.943410852713178,0.9932507751937983,86.93548387096774,0.740235311140653,3357,0.9746482946284719,0.3328876408897569,0.4073476702508961,0.03333333333333333,0.9772585034370422,0.9982725347868517
0,asvspoof2019,ours,15,3.907364341085273,0.9932526485788115,89.6236559139785,0.740235311140653,3354,0.9757530434028037,0.3056474975205813,0.4345878136200717,0.004480286738351254,0.9815971255302429,0.9998771894154949
0,asvspoof2019,ours,16,3.835271317829457,0.9933609173126616,88.85304659498208,0.740235311140653,3349,0.9739382149443072,0.3137120136496136,0.4265232974910394,0.019175627240143368,0.9815747141838074,0.9996699072831472
0,asvspoof2019,ours,17,3.851937984496122,0.9934718346253231,88.47670250896057,0.740235311140653,3359,0.9729639635481454,0.3174754545098286,0.4227598566308244,0.012186379928315413,0.980964183807373,0.9992206088057003
0,asvspoof2019,ours,18,3.924031007751938,0.9935062661498708,89.30107526881721,0.740235311140653,3352,0.9728810307339647,0.30923172691126233,0.43100358422939067,0.0062724014336917565,0.9834946990013123,0.9997834543892563
0,asvspoof2019,ours,19,3.7992248062015523,0.9936822351421187,89.42652329749103,0.740235311140653,3357,0.972641990547717,0.30797724662452397,0.432258064516129,0.00949820788530466,0.9834272861480713,0.9998347131515594
0,asvspoof2019,ours,20,3.7298449612403117,0.993678488372093,89.08602150537635,0.740235311140653,3348,0.9720978878678256,0.3113822645456709,0.4288530465949821,0.0035842293906810036,0.9852604866027832,0.9998601620729404
0,asvspoof2019,ours,21,3.5496124031007747,0.9939832041343669,88.87096774193549,0.740235311140653,3351,0.9713361352411892,0.3135328021800795,0.4267025089605735,0.007347670250896057,0.9844778776168823,0.9998601611545568
0,asvspoof2019,ours,22,3.7077519379844963,0.9936782945736434,89.33691756272401,0.740235311140653,3351,0.9731811619926046,0.3088733039721942,0.4313620071684588,0.004301075268817204,0.9890192747116089,0.9999812240157545
0,asvspoof2019,ours,23,3.727131782945736,0.9935960594315245,89.40860215053763,0.740235311140653,3353,0.9725075961076947,0.308156458094058,0.432078853046595,0.0060931899641577065,0.9883076548576355,0.9999724624368698
0,asvspoof2019,ours,24,3.6717054263565903,0.993426550387597,89.6594982078853,0.740235311140653,3352,0.9661448241088851,0.3056474975205813,0.4345878136200717,0.006810035842293907,0.9870988726615906,0.9998804109230903
0,asvspoof2019,ours,25,3.835271317829457,0.9933375968992247,89.6057347670251,0.740235311140653,3350,0.960282162713132,0.30618513192918345,0.43405017921146954,0.00913978494623656,0.9859190583229065,0.9998274929507545
0,asvspoof2019,ours,26,3.7992248062015523,0.9939650516795865,89.82078853046595,0.740235311140653,3357,0.9655719234377166,0.30403459429477486,0.43620071684587813,0.006630824372759856,0.9902433156967163,0.999984741061628
0,asvspoof2019,ours,27,3.65503875968992,0.9936206072351422,90.50179211469535,0.740235311140653,3362,0.9649835363613678,0.29722455845248097,0.443010752688172,0.00931899641577061,0.9895168542861938,0.9999934272768467
