part,seed,target,dA_source,dA_adapted,domacc_source,domacc_adapted,eer_source,eer_adapted,auc_source,auc_adapted
divergence,0,asvspoof2019,1.572,1.6093,0.893,0.9023,4.731,4.196,0.9909,0.9924
divergence,0,dataset2,1.46,1.504,0.865,0.876,36.946,36.901,0.6872,0.6939
divergence,0,in_the_wild,1.3347,1.3567,0.8337,0.8392,13.017,13.283,0.943,0.9451
divergence,0,arabic,1.5453,1.606,0.8863,0.9015,21.6,20.181,0.8638,0.8806
