seed,target,family,src_eer,src_auc,src_acc,n,ada_eer,ada_auc,ada_acc,pool,gain,auc_gain,acc_gain,rel_gain
0,arabic,deepfense_w2v2_aasist_s2,25.7682879377432,0.8144600518806744,58.92280071813284,5570,26.84079118028534,0.8021372243839169,72.11849192100539,extended_pipeline target pool,-1.0725032425421404,-0.012322827496757505,13.195691202872545,-0.04162105162490166
0,arabic,deepfense_w2v2_aasist_s240,24.57347600518806,0.8236747730220492,58.90484739676841,5570,22.99805447470817,0.838978728923476,78.13285457809694,extended_pipeline target pool,1.5754215304798898,0.015303955901426858,19.22800718132853,0.06411065044877168
0,arabic,deepfense_w2v2_aasist_s42,32.15869001297017,0.7343448119325551,53.85996409335727,5570,28.98028534370947,0.7676854085603112,71.0951526032316,extended_pipeline target pool,3.1784046692607006,0.033340596627756125,17.235188509874327,0.09883501684859657
0,arabic,ssl_aasist_wavefake,22.386770428015563,0.8578844357976654,59.26391382405745,5570,22.659079118028536,0.858572438391699,77.36086175942549,extended_pipeline target pool,-0.27230869001297364,0.0006880025940336765,18.096947935368043,-0.012163821971935591
0,asvspoof2019,ssl_aasist_wavefake,0.4658914728682191,0.999770607235142,89.49820788530467,5580,0.4658914728682191,0.9997712532299742,99.53405017921146,extended_pipeline target pool,0.0,6.459948321824172e-07,10.035842293906796,0.0
0,asvspoof2021df,deepfense_w2v2_aasist_s2,4.616666666666667,0.9916910555555556,88.53333333333335,6000,4.783333333333334,0.9917545,85.36666666666667,extended_pipeline target pool,-0.16666666666666696,6.344444444439379e-05,-3.1666666666666714,-0.03610108303249104
0,asvspoof2021df,deepfense_w2v2_aasist_s240,4.716666666666669,0.9920422777777779,86.96666666666665,6000,4.599999999999999,0.9922993888888888,81.88333333333333,extended_pipeline target pool,0.1166666666666698,0.0002571111111109303,-5.083333333333329,0.02473498233215613
0,asvspoof2021df,deepfense_w2v2_aasist_s42,4.983333333333332,0.9912886666666668,80.46666666666667,6000,3.6,0.9947841666666668,86.48333333333333,extended_pipeline target pool,1.3833333333333315,0.0034954999999999847,6.016666666666666,0.2775919732441469
0,asvspoof2021df,ssl_aasist_wavefake,3.316666666666664,0.9937529444444445,70.3,6000,3.3000000000000016,0.9939938888888888,91.7,extended_pipeline target pool,0.01666666666666261,0.00024094444444433538,21.400000000000006,0.005025125628139484
0,dataset2,deepfense_w2v2_aasist_s2,34.496616547287594,0.7169323604920224,66.33685630762312,4447,34.719559347731675,0.7058837754952947,65.19001574094897,extended_pipeline target pool,-0.22294280044408055,-0.011048584996727673,-1.1468405666741575,-0.006462743966164709
0,dataset2,deepfense_w2v2_aasist_s240,27.455042111530293,0.7855595436274968,72.40836519001574,4447,24.93825638958336,0.803399318654908,74.63458511355971,extended_pipeline target pool,2.5167857219469347,0.017839775027411187,2.2262199235439653,0.09166934480460914
0,dataset2,deepfense_w2v2_aasist_s42,42.913165130058225,0.5854804972354,46.12098043624916,4447,42.703012222037394,0.5884138752524081,56.06026534742523,extended_pipeline target pool,0.21015290802083086,0.0029333780170081036,9.939284911176067,0.0048971663447316014
0,dataset2,ssl_aasist_wavefake,33.97761404556845,0.7340157712325368,66.876545986058,4447,32.92170926388907,0.7446613329577314,67.9784124128626,extended_pipeline target pool,1.0559047816793807,0.010645561725194597,1.101866426804591,0.03107648407163827
0,in_the_wild,deepfense_w2v2_aasist_s2,8.599999999999998,0.9738283888888889,90.05,6000,8.149999999999999,0.9738651666666668,88.3,extended_pipeline target pool,0.4499999999999993,3.677777777788549e-05,-1.75,0.05232558139534877
0,in_the_wild,deepfense_w2v2_aasist_s240,6.766666666666666,0.980823611111111,75.58333333333334,6000,6.6999999999999975,0.9817469444444444,91.73333333333332,extended_pipeline target pool,0.0666666666666682,0.0009233333333333871,16.149999999999977,0.009852216748768702
0,in_the_wild,deepfense_w2v2_aasist_s42,14.499999999999998,0.9307432777777779,51.13333333333333,6000,12.133333333333333,0.947053,88.23333333333333,extended_pipeline target pool,2.3666666666666654,0.016309722222222156,37.1,0.16321839080459763
0,in_the_wild,ssl_aasist_wavefake,4.566666666666666,0.9862182222222223,80.88333333333333,6000,4.316666666666666,0.9876774444444444,95.33333333333334,extended_pipeline target pool,0.25,0.0014592222222220563,14.450000000000017,0.05474452554744526
1,arabic,deepfense_w2v2_aasist_s2,25.537678339818413,0.8129848249027238,59.156193895870736,5570,26.646303501945525,0.8032744487678339,72.10053859964093,extended_pipeline target pool,-1.1086251621271117,-0.009710376134889898,12.944344703770192,-0.043411352722637304
1,arabic,deepfense_w2v2_aasist_s240,24.665175097276265,0.8253889753566797,58.83303411131059,5570,23.178664072632944,0.8369021400778209,77.75583482944344,extended_pipeline target pool,1.4865110246433204,0.011513164721141278,18.922800718132855,0.060267604782074845
1,arabic,deepfense_w2v2_aasist_s42,32.634046692607,0.7323675745784696,53.84201077199282,5570,28.36621271076524,0.7691867055771724,72.11849192100539,extended_pipeline target pool,4.267833981841761,0.03681913099870282,18.276481149012568,0.1307785706762688
1,arabic,ssl_aasist_wavefake,22.30894941634241,0.8558640077821013,59.2100538599641,5570,22.784111543450063,0.8564228923476005,77.30700179533213,extended_pipeline target pool,-0.4751621271076516,0.0005588845654992403,18.09694793536803,-0.02129917093987276
1,asvspoof2019,ssl_aasist_wavefake,0.57403100775194,0.9993218992248062,89.31899641577061,5580,0.5186046511627891,0.999272739018088,99.35483870967742,extended_pipeline target pool,0.05542635658915096,-4.916020671819066e-05,10.03584229390681,0.09655638082377378
1,dataset2,deepfense_w2v2_aasist_s2,34.69654968367277,0.7124114775523221,66.06701146840567,4447,35.14754517037878,0.6977770681276286,64.40296829323138,extended_pipeline target pool,-0.450995486706006,-0.014634409424693517,-1.6640431751742852,-0.012998280544253421
1,dataset2,deepfense_w2v2_aasist_s240,27.54708076776591,0.7842010223009583,71.84618844164605,4447,25.860191095563568,0.7978714340585931,72.52080053968967,extended_pipeline target pool,1.6868896722023408,0.013670411757634726,0.6746120980436245,0.06123660385009823
1,dataset2,deepfense_w2v2_aasist_s42,43.0670789383256,0.5848932145168516,46.07600629637958,4447,43.129976067520914,0.5873818806889219,55.13829548009894,extended_pipeline target pool,-0.06289712919531354,0.0024886661720703307,9.062289183719358,-0.0014604456755793827
1,dataset2,ssl_aasist_wavefake,33.95562635867311,0.7331694527180748,66.74162356644929,4447,32.966706614843325,0.7437741353567267,68.20328311221047,extended_pipeline target pool,0.9889197438297828,0.010604682638651886,1.4616595457611794,0.02912388460704063
1,in_the_wild,deepfense_w2v2_aasist_s2,8.85,0.9714745555555556,90.15,6000,8.833333333333332,0.9724945,88.56666666666668,extended_pipeline target pool,0.016666666666667496,0.0010199444444444206,-1.5833333333333286,0.0018832391713748584
1,in_the_wild,deepfense_w2v2_aasist_s240,7.166666666666664,0.9775863888888888,75.7,6000,7.066666666666664,0.9779962222222224,89.4,extended_pipeline target pool,0.10000000000000053,0.00040983333333355354,13.700000000000003,0.013953488372093103
1,in_the_wild,deepfense_w2v2_aasist_s42,15.350000000000003,0.9258470555555556,50.95,6000,12.96666666666667,0.943245722222222,86.11666666666666,extended_pipeline target pool,2.383333333333333,0.01739866666666645,35.16666666666666,0.15526601520086855
1,in_the_wild,ssl_aasist_wavefake,4.733333333333335,0.9852120555555556,80.88333333333333,6000,4.700000000000002,0.986552722222222,95.25,extended_pipeline target pool,0.033333333333333215,0.0013406666666664346,14.366666666666674,0.007042253521126733
2,arabic,deepfense_w2v2_aasist_s2,25.6014915693904,0.815356485084306,58.92280071813285,5570,26.17671854734112,0.8072474059662775,73.016157989228,extended_pipeline target pool,-0.5752269779507202,-0.008109079118028495,14.093357271095158,-0.02246849471217809
2,arabic,deepfense_w2v2_aasist_s240,24.003891050583658,0.8262322308690013,58.85098743267505,5570,22.820233463035017,0.8399443579766537,77.03770197486534,extended_pipeline target pool,1.183657587548641,0.01371212710765235,18.186714542190295,0.0493110714864647
2,arabic,deepfense_w2v2_aasist_s42,33.186964980544744,0.7264609597924773,53.931777378815084,5570,29.372049286640724,0.7593898832684826,71.18491921005386,extended_pipeline target pool,3.8149156939040196,0.03292892347600529,17.25314183123878,0.11495223188201888
2,arabic,ssl_aasist_wavefake,22.089494163424124,0.8558620622568094,59.06642728904848,5570,22.603501945525288,0.8558917639429311,77.55834829443447,extended_pipeline target pool,-0.5140077821011637,2.9701686121708093e-05,18.49192100538599,-0.02326933239386984
2,asvspoof2019,ssl_aasist_wavefake,0.5379844961240294,0.9995269379844962,89.39068100358423,5580,0.5713178294573646,0.9994766149870802,97.078853046595,extended_pipeline target pool,-0.03333333333333521,-5.032299741603019e-05,7.688172043010766,-0.06195965417867803
2,dataset2,deepfense_w2v2_aasist_s2,34.58354531770538,0.7127081544873297,66.62918821677536,4447,35.03454080441138,0.6985228078994585,65.1225545311446,extended_pipeline target pool,-0.45099548670599887,-0.014185346587871184,-1.50663368563076,-0.013040753415038318
2,dataset2,deepfense_w2v2_aasist_s240,27.47907375275276,0.7844272738789517,71.66629188216776,4447,26.221191880361083,0.7959517359648132,73.42028333708119,extended_pipeline target pool,1.2578818723916783,0.011524462085861442,1.7539914549134323,0.0457759924409995
2,dataset2,deepfense_w2v2_aasist_s42,43.19593912820693,0.5857627045927452,45.80616145716213,4447,42.38803076535768,0.592366700786538,57.11715763436024,extended_pipeline target pool,0.8079083628492469,0.006603996193792816,11.310996177198106,0.018703340618462978
2,dataset2,ssl_aasist_wavefake,33.79762464175147,0.7340395499091148,66.78659770631886,4447,33.07868900364714,0.7439811616217422,68.04587362266696,extended_pipeline target pool,0.7189356381043268,0.009941611712627418,1.259275916348102,0.021271780065164662
2,in_the_wild,deepfense_w2v2_aasist_s2,8.333333333333334,0.9750708333333332,90.33333333333331,6000,7.883333333333334,0.9750478333333332,88.58333333333334,extended_pipeline target pool,0.4500000000000002,-2.2999999999995246e-05,-1.7499999999999716,0.05400000000000002
2,in_the_wild,deepfense_w2v2_aasist_s240,6.716666666666668,0.982549777777778,75.94999999999999,6000,6.68333333333333,0.9826388333333332,91.01666666666668,extended_pipeline target pool,0.033333333333337656,8.9055555555273e-05,15.066666666666691,0.004962779156328186
2,in_the_wild,deepfense_w2v2_aasist_s42,14.866666666666664,0.9292361666666666,51.0,6000,12.83333333333333,0.943932,85.71666666666667,extended_pipeline target pool,2.033333333333333,0.014695833333333352,34.71666666666667,0.13677130044843053
2,in_the_wild,ssl_aasist_wavefake,4.599999999999999,0.9863308333333332,81.41666666666667,6000,4.433333333333334,0.9876662777777778,95.31666666666668,extended_pipeline target pool,0.1666666666666652,0.0013354444444446667,13.900000000000006,0.036231884057970704
