seed,target,method,epoch,q_t,lo_frac,hi_frac,lambda_t,c_epoch,shift,pi_real,shrunk,q_max,n_conf,stopped
3,arabic,ours_gmmq,1,0.1286,0.0808,0.1764,0.3,0.0,0.32108,0.3142,False,0.3,1545,
3,arabic,ours_gmmq,2,0.1571,0.0987,0.2155,0.3,0.0,0.02696,0.3142,False,0.3,1889,
3,arabic,ours_gmmq,3,0.1857,0.1167,0.2547,0.3,0.0,0.01743,0.3142,False,0.3,2232,fixed_E
3,dataset2,ours_gmmq,0,0.1,0.0888,0.1112,0.3,,,0.444,False,0.3,609,
3,dataset2,ours_gmmq,1,0.1286,0.1142,0.143,0.3,0.0,0.45398,0.444,False,0.3,714,
3,dataset2,ours_gmmq,2,0.1571,0.1396,0.1747,0.3,0.0,0.01882,0.444,False,0.3,874,
3,dataset2,ours_gmmq,3,0.1857,0.1649,0.2065,0.3,0.0,0.04187,0.444,False,0.3,1032,fixed_E
3,in_the_wild,ours_gmmq,0,0.1,0.018,0.182,0.3,,,0.0899,False,0.3,3544,
3,in_the_wild,ours_gmmq,1,0.1286,0.0231,0.234,0.3,0.0,0.11055,0.0899,False,0.3,1550,
3,in_the_wild,ours_gmmq,2,0.1571,0.0283,0.286,0.3,0.0,0.02293,0.0899,False,0.3,1900,
3,in_the_wild,ours_gmmq,3,0.1857,0.0334,0.338,0.3,0.0,0.01832,0.0899,False,0.3,2234,fixed_E
3,asvspoof2019,ours_gmmq,0,0.1,0.0266,0.1734,0.3,,,0.1328,False,0.3,2833,
3,asvspoof2019,ours_gmmq,1,0.1286,0.0342,0.223,0.3,0.0,0.17354,0.1328,False,0.3,1590,
3,asvspoof2019,ours_gmmq,2,0.1571,0.0418,0.2725,0.3,0.0,0.08062,0.1328,False,0.3,1892,
3,asvspoof2019,ours_gmmq,3,0.1857,0.0493,0.3221,0.3,0.0,0.01808,0.1328,False,0.3,2230,fixed_E
4,arabic,ours_gmmq,0,0.1,0.045,0.155,0.3,,,0.225,False,0.3,1308,
4,arabic,ours_gmmq,1,0.1286,0.0579,0.1993,0.3,0.0,0.38616,0.225,False,0.3,1546,
4,arabic,ours_gmmq,2,0.1571,0.0707,0.2436,0.3,0.0,0.05237,0.225,False,0.3,1890,
4,arabic,ours_gmmq,3,0.1857,0.0836,0.2878,0.3,0.0,0.01654,0.225,False,0.3,2234,fixed_E
4,dataset2,ours_gmmq,0,0.1,0.1119,0.0881,0.3,,,0.5596,False,0.3,585,
4,dataset2,ours_gmmq,1,0.1286,0.1439,0.1132,0.3,0.0,0.53502,0.5596,False,0.3,714,
4,dataset2,ours_gmmq,2,0.1571,0.1759,0.1384,0.3,0.0,0.01824,0.5596,False,0.3,872,
4,dataset2,ours_gmmq,3,0.1857,0.2079,0.1636,0.3,0.0,0.02054,0.5596,False,0.3,1033,fixed_E
4,in_the_wild,ours_gmmq,0,0.1,0.0331,0.1669,0.3,,,0.1655,False,0.3,2945,
4,in_the_wild,ours_gmmq,1,0.1286,0.0425,0.2146,0.3,0.0,0.11772,0.1655,False,0.3,1572,
4,in_the_wild,ours_gmmq,2,0.1571,0.052,0.2623,0.3,0.0,0.05216,0.1655,False,0.3,1889,
4,in_the_wild,ours_gmmq,3,0.1857,0.0615,0.31,0.3,0.0,0.01888,0.1655,False,0.3,2235,fixed_E
4,asvspoof2019,ours_gmmq,0,0.1,0.0248,0.1752,0.3,,,0.124,False,0.3,3846,
4,asvspoof2019,ours_gmmq,1,0.1286,0.0319,0.2253,0.3,0.0,0.07999,0.124,False,0.3,3327,
4,asvspoof2019,ours_gmmq,2,0.1571,0.039,0.2753,0.3,0.0,0.05263,0.124,False,0.3,1997,
4,asvspoof2019,ours_gmmq,3,0.1857,0.0461,0.3254,0.3,0.0,0.04106,0.124,False,0.3,2233,fixed_E
0,arabic,ours_gmmq,0,0.1,0.0729,0.1271,0.3,,,0.3647,False,0.3,1243,
0,arabic,ours_gmmq,1,0.1286,0.0938,0.1634,0.3,0.0,0.34784,0.3647,False,0.3,1547,
0,arabic,ours_gmmq,2,0.1571,0.1146,0.1997,0.3,0.0,0.02792,0.3647,False,0.3,1891,
0,arabic,ours_gmmq,3,0.1857,0.1354,0.236,0.3,0.0,0.04035,0.3647,False,0.3,2229,fixed_E
0,dataset2,ours_gmmq,0,0.1,0.0982,0.1018,0.3,,,0.4911,False,0.3,986,
0,dataset2,ours_gmmq,1,0.1286,0.1263,0.1309,0.3,0.0,0.43175,0.4911,False,0.3,1022,
0,dataset2,ours_gmmq,2,0.1571,0.1544,0.1599,0.3,0.0,0.04193,0.4911,False,0.3,1252,
0,dataset2,ours_gmmq,3,0.1857,0.1824,0.189,0.3,0.0,0.02919,0.4911,False,0.3,1476,fixed_E
0,in_the_wild,ours_gmmq,0,0.1,0.0752,0.1248,0.3,,,0.3761,False,0.3,2559,
0,in_the_wild,ours_gmmq,1,0.1286,0.0967,0.1604,0.3,0.0,0.05368,0.3761,False,0.3,2131,
0,in_the_wild,ours_gmmq,2,0.1571,0.1182,0.1961,0.3,0.0,0.08987,0.3761,False,0.3,1887,
0,in_the_wild,ours_gmmq,3,0.1857,0.1397,0.2317,0.3,0.0,0.04294,0.3761,False,0.3,2233,fixed_E
0,asvspoof2019,ours_gmmq,0,0.1,0.0712,0.1288,0.3,,,0.3559,False,0.3,2859,
0,asvspoof2019,ours_gmmq,1,0.1286,0.0915,0.1656,0.3,0.0,0.20096,0.3559,False,0.3,2090,
0,asvspoof2019,ours_gmmq,2,0.1571,0.1119,0.2024,0.3,0.0,0.06016,0.3559,False,0.3,1890,
0,asvspoof2019,ours_gmmq,3,0.1857,0.1322,0.2392,0.3,0.0,0.02201,0.3559,False,0.3,2231,fixed_E
