ckpt,method,setting,eer,auc,acc,acc_median_rule,n,attainable,deficit,smoke,adapt_min,pi_fake_hat,pi_fake_true,lo_frac,hi_frac,seed,eval_sub,q,conf_tau,skew_target,eer_operating_accuracy,eer_operating_gap,oracle_accuracy,threshold_gap
deepfense_w2v2_aasist_s2,sar,disjoint_eval,4.486,0.9923,98.889,56.063,380435,95.514,-3.374,False,16.4,,,,,0.0,0.0,,,,,,,
deepfense_w2v2_aasist_s42,source,official_eval,4.56,0.9919,98.776,58.118,400435,95.44,-3.336,False,,,,,,0.0,0.0,,,,,,,
deepfense_w2v2_aasist_s42,source,disjoint_eval,4.542,0.992,98.777,58.123,380435,95.458,-3.319,False,,,,,,0.0,0.0,,,,,,,
deepfense_w2v2_aasist_s42,ours_fixed,official_eval,4.08,0.9922,61.796,52.794,400435,95.92,34.124,False,22.7,,,,,0.0,0.0,,,,,,,
deepfense_w2v2_aasist_s42,ours_fixed,disjoint_eval,4.078,0.9922,61.814,52.789,380435,95.922,34.108,False,22.7,,,,,0.0,0.0,,,,,,,
deepfense_w2v2_aasist_s42,ours_bbse,official_eval,3.29,0.9958,98.982,54.272,400435,96.71,-2.272,False,22.7,0.9803,0.9708,0.0118,0.5882,0.0,0.0,,,,,,,
deepfense_w2v2_aasist_s42,ours_bbse,disjoint_eval,3.273,0.9958,98.982,54.284,380435,96.727,-2.256,False,22.7,0.9803,0.9708,0.0118,0.5882,0.0,0.0,,,,,,,
deepfense_w2v2_aasist_s240,source,official_eval,3.824,0.9943,99.112,53.462,400435,96.176,-2.937,False,,,,,,0.0,0.0,,,,,,,
deepfense_w2v2_aasist_s240,source,disjoint_eval,3.831,0.9942,99.111,53.49,380435,96.169,-2.942,False,,,,,,0.0,0.0,,,,,,,
deepfense_w2v2_aasist_s240,ours_fixed,official_eval,4.66,0.9918,65.239,52.782,400435,95.34,30.101,False,22.6,,,,,0.0,0.0,,,,,,,
deepfense_w2v2_aasist_s240,ours_fixed,disjoint_eval,4.665,0.9918,65.268,52.775,380435,95.335,30.067,False,22.6,,,,,0.0,0.0,,,,,,,
deepfense_w2v2_aasist_s240,ours_bbse,official_eval,3.802,0.9933,98.743,53.774,400435,96.198,-2.544,False,22.6,0.9762,0.9708,0.0143,0.5857,0.0,0.0,,,,,,,
deepfense_w2v2_aasist_s240,ours_bbse,disjoint_eval,3.827,0.9933,98.742,53.791,380435,96.173,-2.57,False,22.6,0.9762,0.9708,0.0143,0.5857,0.0,0.0,,,,,,,
deepfense_w2v2_aasist_s2,source,official_eval,4.565,0.9919,98.84,59.188,50000,95.435,-3.405,False,,,,,,1.0,50000.0,,,,,,,
deepfense_w2v2_aasist_s2,source,disjoint_eval,4.399,0.9925,98.833,59.527,30000,95.601,-3.232,False,,,,,,1.0,50000.0,,,,,,,
deepfense_w2v2_aasist_s2,ours_fixed,official_eval,6.069,0.9842,64.926,52.778,50000,93.931,29.005,False,23.0,,,,,1.0,50000.0,,,,,,,
deepfense_w2v2_aasist_s2,ours_fixed,disjoint_eval,6.047,0.9844,64.997,52.813,30000,93.953,28.957,False,23.0,,,,,1.0,50000.0,,,,,,,
deepfense_w2v2_aasist_s2,ours_bbse,official_eval,4.347,0.9926,98.95,66.244,50000,95.653,-3.297,False,22.7,0.9744,0.9728,0.0154,0.5846,1.0,50000.0,,,,,,,
deepfense_w2v2_aasist_s2,ours_bbse,disjoint_eval,4.049,0.9933,98.96,66.577,30000,95.951,-3.009,False,22.7,0.9744,0.9728,0.0154,0.5846,1.0,50000.0,,,,,,,
deepfense_w2v2_aasist_s42,source,official_eval,4.494,0.9922,98.786,58.488,50000,95.506,-3.28,False,,,,,,1.0,50000.0,,,,,,,
deepfense_w2v2_aasist_s42,source,disjoint_eval,4.639,0.9923,98.793,58.267,30000,95.361,-3.433,False,,,,,,1.0,50000.0,,,,,,,
deepfense_w2v2_aasist_s42,ours_fixed,official_eval,4.165,0.9921,62.162,52.772,50000,95.835,33.673,False,22.7,,,,,1.0,50000.0,,,,,,,
deepfense_w2v2_aasist_s42,ours_fixed,disjoint_eval,4.272,0.992,62.153,52.813,30000,95.728,33.575,False,22.7,,,,,1.0,50000.0,,,,,,,
deepfense_w2v2_aasist_s42,ours_bbse,official_eval,3.27,0.9955,98.93,60.992,50000,96.73,-2.2,False,22.9,0.9826,0.9728,0.0104,0.5896,1.0,50000.0,,,,,,,
deepfense_w2v2_aasist_s42,ours_bbse,disjoint_eval,3.633,0.9956,98.933,60.853,30000,96.367,-2.567,False,22.9,0.9826,0.9728,0.0104,0.5896,1.0,50000.0,,,,,,,
deepfense_w2v2_aasist_s240,source,official_eval,3.847,0.9939,99.058,53.466,50000,96.153,-2.905,False,,,,,,1.0,50000.0,,,,,,,
deepfense_w2v2_aasist_s240,source,disjoint_eval,3.686,0.9942,99.05,53.363,30000,96.314,-2.736,False,,,,,,1.0,50000.0,,,,,,,
deepfense_w2v2_aasist_s240,ours_fixed,official_eval,4.976,0.9914,64.978,52.776,50000,95.024,30.046,False,22.8,,,,,1.0,50000.0,,,,,,,
deepfense_w2v2_aasist_s240,ours_fixed,disjoint_eval,4.986,0.9918,65.053,52.84,30000,95.014,29.961,False,22.8,,,,,1.0,50000.0,,,,,,,
deepfense_w2v2_aasist_s240,ours_bbse,official_eval,3.841,0.9935,98.92,58.304,50000,96.159,-2.761,False,22.7,0.9781,0.9728,0.0132,0.5868,1.0,50000.0,,,,,,,
deepfense_w2v2_aasist_s240,ours_bbse,disjoint_eval,3.57,0.9935,98.923,58.25,30000,96.43,-2.493,False,22.7,0.9781,0.9728,0.0132,0.5868,1.0,50000.0,,,,,,,
deepfense_w2v2_aasist_s2,source,official_eval,4.565,0.9919,98.84,59.188,50000,95.435,-3.405,False,,,,,,2.0,50000.0,0.3,,,,,,
deepfense_w2v2_aasist_s2,source,disjoint_eval,4.697,0.9911,98.777,59.39,30000,95.303,-3.474,False,,,,,,2.0,50000.0,0.3,,,,,,
deepfense_w2v2_aasist_s2,ours_fixed,official_eval,6.267,0.9844,62.186,52.784,50000,93.733,31.547,False,22.7,,,,,2.0,50000.0,0.3,,,,,,
deepfense_w2v2_aasist_s2,ours_fixed,disjoint_eval,6.635,0.9826,62.123,52.817,30000,93.365,31.242,False,22.7,,,,,2.0,50000.0,0.3,,,,,,
deepfense_w2v2_aasist_s2,ours_bbse,official_eval,4.547,0.9919,98.894,66.228,50000,95.453,-3.441,False,22.6,0.9731,0.9727,0.0161,0.5839,2.0,50000.0,0.3,,,,,,
deepfense_w2v2_aasist_s2,ours_bbse,disjoint_eval,4.326,0.9909,98.82,66.43,30000,95.674,-3.146,False,22.6,0.9731,0.9727,0.0161,0.5839,2.0,50000.0,0.3,,,,,,
deepfense_w2v2_aasist_s42,source,official_eval,4.494,0.9922,98.786,58.488,50000,95.506,-3.28,False,,,,,,2.0,50000.0,0.3,,,,,,
deepfense_w2v2_aasist_s42,source,disjoint_eval,4.605,0.9913,98.693,58.643,30000,95.395,-3.298,False,,,,,,2.0,50000.0,0.3,,,,,,
deepfense_w2v2_aasist_s42,ours_fixed,official_eval,4.292,0.9921,61.602,52.788,50000,95.708,34.106,False,22.5,,,,,2.0,50000.0,0.3,,,,,,
deepfense_w2v2_aasist_s42,ours_fixed,disjoint_eval,4.615,0.991,61.9,52.8,30000,95.385,33.485,False,22.5,,,,,2.0,50000.0,0.3,,,,,,
deepfense_w2v2_aasist_s42,ours_bbse,official_eval,3.227,0.996,98.988,56.742,50000,96.773,-2.215,False,22.6,0.9814,0.9727,0.0112,0.5888,2.0,50000.0,0.3,,,,,,
deepfense_w2v2_aasist_s42,ours_bbse,disjoint_eval,3.289,0.9954,98.92,56.943,30000,96.711,-2.209,False,22.6,0.9814,0.9727,0.0112,0.5888,2.0,50000.0,0.3,,,,,,
deepfense_w2v2_aasist_s240,source,official_eval,3.847,0.9939,99.058,53.466,50000,96.153,-2.905,False,,,,,,2.0,50000.0,0.3,,,,,,
deepfense_w2v2_aasist_s240,source,disjoint_eval,3.846,0.9933,99.02,53.65,30000,96.154,-2.866,False,,,,,,2.0,50000.0,0.3,,,,,,
deepfense_w2v2_aasist_s240,ours_fixed,official_eval,5.059,0.9913,62.94,52.78,50000,94.941,32.001,False,22.5,,,,,2.0,50000.0,0.3,,,,,,
deepfense_w2v2_aasist_s240,ours_fixed,disjoint_eval,5.409,0.9903,63.07,52.8,30000,94.591,31.521,False,22.5,,,,,2.0,50000.0,0.3,,,,,,
deepfense_w2v2_aasist_s240,ours_bbse,official_eval,4.023,0.9926,98.65,55.482,50000,95.977,-2.673,False,22.6,0.9769,0.9727,0.0139,0.5861,2.0,50000.0,0.3,,,,,,
deepfense_w2v2_aasist_s240,ours_bbse,disjoint_eval,4.206,0.9917,98.54,55.567,30000,95.794,-2.746,False,22.6,0.9769,0.9727,0.0139,0.5861,2.0,50000.0,0.3,,,,,,
deepfense_w2v2_aasist_s2,ours_fixed,official_eval,4.194,0.993,98.962,56.563,400435,95.806,-3.156,False,22.3,,,,,0.0,0.0,0.02,,,,,,
deepfense_w2v2_aasist_s2,ours_fixed,disjoint_eval,4.204,0.9929,98.964,56.585,380435,95.796,-3.168,False,22.3,,,,,0.0,0.0,0.02,,,,,,
deepfense_w2v2_aasist_s2,ours_fixed,official_eval,5.964,0.9894,95.684,53.525,400435,94.036,-1.648,False,22.6,,,,,0.0,0.0,0.05,,,,,,
deepfense_w2v2_aasist_s2,ours_fixed,disjoint_eval,5.979,0.9894,95.697,53.54,380435,94.021,-1.676,False,22.6,,,,,0.0,0.0,0.05,,,,,,
deepfense_w2v2_aasist_s2,ours_fixed,official_eval,5.622,0.9881,88.149,52.998,400435,94.378,6.229,False,22.7,,,,,0.0,0.0,0.1,,,,,,
deepfense_w2v2_aasist_s2,ours_fixed,disjoint_eval,5.621,0.9881,88.154,53.005,380435,94.379,6.225,False,22.7,,,,,0.0,0.0,0.1,,,,,,
deepfense_w2v2_aasist_s2,ours_conf,official_eval,4.303,0.9918,99.021,56.05,400435,95.697,-3.324,False,22.7,,,,,0.0,0.0,0.3,0.95,,,,,
deepfense_w2v2_aasist_s2,ours_conf,disjoint_eval,4.328,0.9917,99.024,56.018,380435,95.672,-3.352,False,22.7,,,,,0.0,0.0,0.3,0.95,,,,,
deepfense_w2v2_aasist_s2,ours_bbse_nocons,official_eval,3.98,0.9935,98.9,64.147,400435,96.02,-2.88,False,14.9,0.9715,0.9708,0.0171,0.5829,0.0,0.0,0.3,,,,,,
deepfense_w2v2_aasist_s2,ours_bbse_nocons,disjoint_eval,3.999,0.9935,98.904,64.162,380435,96.001,-2.903,False,14.9,0.9715,0.9708,0.0171,0.5829,0.0,0.0,0.3,,,,,,
deepfense_w2v2_aasist_s42,tent,official_eval,11.183,0.9245,98.614,89.721,400435,88.817,-9.797,False,7.8,,,,,0.0,0.0,0.3,,,,,,
deepfense_w2v2_aasist_s42,tent,disjoint_eval,11.171,0.9246,98.618,89.709,380435,88.829,-9.789,False,7.8,,,,,0.0,0.0,0.3,,,,,,
deepfense_w2v2_aasist_s42,shot,official_eval,6.226,0.9731,73.298,52.886,400435,93.774,20.475,False,14.6,,,,,0.0,0.0,0.3,,,,,,
deepfense_w2v2_aasist_s42,shot,disjoint_eval,6.26,0.9731,73.306,52.92,380435,93.74,20.434,False,14.6,,,,,0.0,0.0,0.3,,,,,,
deepfense_w2v2_aasist_s42,eta,official_eval,37.469,0.6253,97.219,97.916,400435,62.531,-34.688,False,8.2,,,,,0.0,0.0,0.3,,,,,,
deepfense_w2v2_aasist_s42,eta,disjoint_eval,37.466,0.6253,97.227,97.922,380435,62.534,-34.692,False,8.2,,,,,0.0,0.0,0.3,,,,,,
deepfense_w2v2_aasist_s42,sar,official_eval,4.56,0.9919,98.776,58.118,400435,95.44,-3.336,False,16.3,,,,,0.0,0.0,0.3,,,,,,
deepfense_w2v2_aasist_s42,sar,disjoint_eval,4.542,0.992,98.777,58.123,380435,95.458,-3.319,False,16.3,,,,,0.0,0.0,0.3,,,,,,
deepfense_w2v2_aasist_s240,tent,official_eval,17.575,0.8245,97.697,98.936,400435,82.425,-15.271,False,7.8,,,,,0.0,0.0,0.3,,,,,,
deepfense_w2v2_aasist_s240,tent,disjoint_eval,17.679,0.8234,97.698,98.934,380435,82.321,-15.377,False,7.8,,,,,0.0,0.0,0.3,,,,,,
deepfense_w2v2_aasist_s240,shot,official_eval,3.984,0.9932,82.369,52.917,400435,96.016,13.646,False,14.5,,,,,0.0,0.0,0.3,,,,,,
deepfense_w2v2_aasist_s240,shot,disjoint_eval,3.995,0.9932,82.396,52.929,380435,96.005,13.609,False,14.5,,,,,0.0,0.0,0.3,,,,,,
deepfense_w2v2_aasist_s240,eta,official_eval,31.046,0.6896,97.219,98.261,400435,68.954,-28.265,False,8.2,,,,,0.0,0.0,0.3,,,,,,
deepfense_w2v2_aasist_s240,eta,disjoint_eval,31.146,0.6886,97.227,98.26,380435,68.854,-28.372,False,8.2,,,,,0.0,0.0,0.3,,,,,,
deepfense_w2v2_aasist_s240,sar,official_eval,3.737,0.9944,98.822,53.221,400435,96.263,-2.559,False,16.4,,,,,0.0,0.0,0.3,,,,,,
deepfense_w2v2_aasist_s240,sar,disjoint_eval,3.763,0.9944,98.822,53.252,380435,96.237,-2.585,False,16.4,,,,,0.0,0.0,0.3,,,,,,
deepfense_w2v2_aasist_s2,source,official_eval,4.622,0.9919,88.129,95.366,22272,,,False,,,,,,0.0,0.0,0.3,,0.5,95.378,7.25,95.51,7.381
deepfense_w2v2_aasist_s2,source,disjoint_eval,4.594,0.9922,88.04,95.341,14272,,,False,,,,,,0.0,0.0,0.3,,0.5,95.406,7.366,95.593,7.553
deepfense_w2v2_aasist_s2,ours_fixed,official_eval,4.181,0.9933,79.521,95.775,22272,,,False,9.0,,,,,0.0,0.0,0.02,,0.5,95.819,16.298,95.946,16.424
deepfense_w2v2_aasist_s2,ours_fixed,disjoint_eval,4.133,0.9936,79.372,95.775,14272,,,False,9.0,,,,,0.0,0.0,0.02,,0.5,95.867,16.495,95.985,16.613
deepfense_w2v2_aasist_s2,ours_fixed,official_eval,4.21,0.993,81.254,95.77,22272,,,False,9.1,,,,,0.0,0.0,0.15,,0.5,95.79,14.536,95.923,14.669
deepfense_w2v2_aasist_s2,ours_fixed,disjoint_eval,4.161,0.9933,81.159,95.705,14272,,,False,9.1,,,,,0.0,0.0,0.15,,0.5,95.839,14.681,95.992,14.833
deepfense_w2v2_aasist_s2,ours_fixed,official_eval,4.256,0.9925,84.406,95.726,22272,,,False,9.1,,,,,0.0,0.0,0.3,,0.5,95.744,11.338,95.851,11.445
deepfense_w2v2_aasist_s2,ours_fixed,disjoint_eval,4.193,0.9928,84.326,95.677,14272,,,False,9.1,,,,,0.0,0.0,0.3,,0.5,95.807,11.481,95.922,11.596
deepfense_w2v2_aasist_s2,source,official_eval,4.637,0.9922,78.736,59.808,12373,,,False,,,,,,0.0,0.0,0.3,,0.1,95.363,16.627,98.117,19.381
deepfense_w2v2_aasist_s2,source,disjoint_eval,4.565,0.992,79.076,60.37,4373,,,False,,,,,,0.0,0.0,0.3,,0.1,95.435,16.359,98.079,19.003
deepfense_w2v2_aasist_s2,ours_fixed,official_eval,3.955,0.9939,60.284,59.994,12373,,,False,9.0,,,,,0.0,0.0,0.02,,0.1,96.045,35.76,98.101,37.816
deepfense_w2v2_aasist_s2,ours_fixed,disjoint_eval,4.408,0.9939,60.348,60.508,4373,,,False,9.0,,,,,0.0,0.0,0.02,,0.1,95.592,35.244,98.125,37.777
deepfense_w2v2_aasist_s2,ours_fixed,official_eval,3.928,0.9939,64.851,59.994,12373,,,False,9.1,,,,,0.0,0.0,0.15,,0.1,96.072,31.221,98.085,33.234
deepfense_w2v2_aasist_s2,ours_fixed,disjoint_eval,4.244,0.9938,64.784,60.508,4373,,,False,9.1,,,,,0.0,0.0,0.15,,0.1,95.756,30.972,97.965,33.181
deepfense_w2v2_aasist_s2,ours_fixed,official_eval,3.924,0.9935,62.515,59.994,12373,,,False,9.1,,,,,0.0,0.0,0.3,,0.1,96.076,33.561,98.004,35.489
deepfense_w2v2_aasist_s2,ours_fixed,disjoint_eval,4.126,0.9934,62.749,60.508,4373,,,False,9.1,,,,,0.0,0.0,0.3,,0.1,95.874,33.125,97.896,35.147
deepfense_w2v2_aasist_s2,source,official_eval,4.464,0.9941,76.511,50.853,11248,,,False,,,,,,0.0,0.0,0.3,,0.01,95.536,19.024,99.618,23.106
deepfense_w2v2_aasist_s2,source,disjoint_eval,5.714,0.9893,77.124,50.954,3248,,,False,,,,,,0.0,0.0,0.3,,0.01,94.286,17.161,99.6,22.475
deepfense_w2v2_aasist_s2,ours_fixed,official_eval,3.706,0.9958,56.526,50.978,11248,,,False,9.0,,,,,0.0,0.0,0.02,,0.01,96.294,39.768,99.618,43.092
deepfense_w2v2_aasist_s2,ours_fixed,disjoint_eval,5.212,0.9914,56.619,51.047,3248,,,False,9.0,,,,,0.0,0.0,0.02,,0.01,94.788,38.169,99.6,42.98
deepfense_w2v2_aasist_s2,ours_fixed,official_eval,3.657,0.9955,60.58,50.978,11248,,,False,9.1,,,,,0.0,0.0,0.15,,0.01,96.343,35.764,99.547,38.967
deepfense_w2v2_aasist_s2,ours_fixed,disjoint_eval,5.065,0.9919,60.314,51.016,3248,,,False,9.1,,,,,0.0,0.0,0.15,,0.01,94.935,34.621,99.507,39.193
deepfense_w2v2_aasist_s2,ours_fixed,official_eval,4.02,0.993,55.459,50.978,11248,,,False,9.1,,,,,0.0,0.0,0.3,,0.01,95.98,40.521,99.333,43.874
deepfense_w2v2_aasist_s2,ours_fixed,disjoint_eval,5.42,0.9889,55.357,51.078,3248,,,False,9.1,,,,,0.0,0.0,0.3,,0.01,94.58,39.223,99.2,43.842
deepfense_w2v2_aasist_s2,source,official_eval,4.587,0.9921,97.205,61.695,111360,,,False,,,,,,0.0,0.0,0.3,,0.9,95.413,-1.792,97.209,0.004
deepfense_w2v2_aasist_s2,source,disjoint_eval,4.568,0.9921,97.202,61.675,103360,,,False,,,,,,0.0,0.0,0.3,,0.9,95.432,-1.77,97.207,0.005
deepfense_w2v2_aasist_s2,ours_fixed,official_eval,4.031,0.9933,95.853,60.762,111360,,,False,9.0,,,,,0.0,0.0,0.02,,0.9,95.969,0.116,97.729,1.876
deepfense_w2v2_aasist_s2,ours_fixed,disjoint_eval,3.992,0.9934,95.837,60.761,103360,,,False,9.0,,,,,0.0,0.0,0.02,,0.9,96.008,0.171,97.738,1.901
deepfense_w2v2_aasist_s2,ours_fixed,official_eval,5.817,0.989,91.856,60.033,111360,,,False,9.1,,,,,0.0,0.0,0.15,,0.9,94.183,2.327,97.584,5.728
deepfense_w2v2_aasist_s2,ours_fixed,disjoint_eval,5.823,0.989,91.855,60.052,103360,,,False,9.1,,,,,0.0,0.0,0.15,,0.9,94.177,2.323,97.581,5.727
deepfense_w2v2_aasist_s2,ours_fixed,official_eval,5.703,0.9861,75.769,60.028,111360,,,False,9.1,,,,,0.0,0.0,0.3,,0.9,94.297,18.528,97.008,21.239
deepfense_w2v2_aasist_s2,ours_fixed,disjoint_eval,5.645,0.9862,75.757,60.001,103360,,,False,9.1,,,,,0.0,0.0,0.3,,0.9,94.355,18.598,96.996,21.239
deepfense_w2v2_aasist_s2,source,official_eval,4.622,0.9919,88.129,95.366,22272,,,False,,,,,,1.0,0.0,0.02,,0.5,95.378,7.25,95.51,7.381
deepfense_w2v2_aasist_s2,source,disjoint_eval,4.721,0.9914,87.927,95.256,14272,,,False,,,,,,1.0,0.0,0.02,,0.5,95.279,7.351,95.467,7.539
deepfense_w2v2_aasist_s2,ours_fixed,official_eval,4.241,0.9933,78.031,95.744,22272,,,False,9.0,,,,,1.0,0.0,0.02,,0.5,95.759,17.728,95.982,17.951
deepfense_w2v2_aasist_s2,ours_fixed,disjoint_eval,4.29,0.9928,77.803,95.67,14272,,,False,9.0,,,,,1.0,0.0,0.02,,0.5,95.71,17.907,95.943,18.14
deepfense_w2v2_aasist_s2,source,official_eval,4.622,0.9919,88.129,95.366,22272,,,False,,,,,,2.0,0.0,0.02,,0.5,95.378,7.25,95.51,7.381
deepfense_w2v2_aasist_s2,source,disjoint_eval,4.761,0.9916,87.983,95.249,14272,,,False,,,,,,2.0,0.0,0.02,,0.5,95.239,7.256,95.369,7.385
deepfense_w2v2_aasist_s2,ours_fixed,official_eval,4.143,0.9932,78.183,95.784,22272,,,False,9.0,,,,,2.0,0.0,0.02,,0.5,95.857,17.673,96.008,17.825
deepfense_w2v2_aasist_s2,ours_fixed,disjoint_eval,4.325,0.9928,78.132,95.677,14272,,,False,9.0,,,,,2.0,0.0,0.02,,0.5,95.675,17.543,95.817,17.685
