seed,target,method,setting,family,eer,auc,acc,n,minutes,trainable_params,crop,batch
0,in_the_wild,source,transductive,ssl_aasist_wavefake,5.0366561686852585,0.9855620041626774,78.07671732905378,31779,4.55208162466685,0,64600,16
0,in_the_wild,source,transductive,ssl_aasist_wavefake,5.0366561686852585,0.9855620041626774,78.07671732905378,31779,4.274806110064189,0,64600,16
0,in_the_wild,ours,transductive,ssl_aasist_wavefake,4.055665854206723,0.98997872918318,95.59772176594606,31779,65.87229817310968,16706,64600,16
0,in_the_wild,source,transductive,deepfense_w2v2_aasist_s42,16.41051093473502,0.9177615606475232,39.04150539664558,31779,3.4752158641815187,0,64000,16
0,in_the_wild,ours,transductive,deepfense_w2v2_aasist_s42,10.09758095638746,0.9611145293810476,87.3910444003902,31779,57.52940168778102,16706,64000,16
0,in_the_wild,source,inductive,ssl_aasist_wavefake,4.837201676556729,0.986238831159886,76.74638137193203,15890,3.623925777276357,0,64600,16
0,in_the_wild,ours,inductive,ssl_aasist_wavefake,4.078550883006546,0.9900986470834564,95.84644430459409,15890,28.812747458616894,16706,64600,16
0,in_the_wild,source,transductive,ssl_aasist_wavefake,5.0366561686852585,0.9855620041626774,78.07671732905378,31779,3.257527021567027,0,64600,16
0,in_the_wild,st_only,transductive,ssl_aasist_wavefake,4.934057975094141,0.9861545102515484,94.57188709525158,31779,34.55175656080246,16706,64600,16
0,in_the_wild,source,transductive,ssl_aasist_wavefake,5.0366561686852585,0.9855620041626774,78.07671732905378,31779,3.216071359316508,0,64600,16
0,in_the_wild,tent,transductive,ssl_aasist_wavefake,4.516322783473052,0.9789685753613716,95.40577110670569,31779,22.16646853288015,16706,64600,16
1,in_the_wild,source,transductive,ssl_aasist_wavefake,5.0366561686852585,0.9855620041626774,78.07671732905378,31779,3.2181602478027345,0,64600,16
1,in_the_wild,ours,transductive,ssl_aasist_wavefake,4.090124490971807,0.9900917471696368,95.41835803518046,31779,50.24714531898498,16706,64600,16
2,in_the_wild,source,transductive,ssl_aasist_wavefake,5.0366561686852585,0.9855620041626774,78.07671732905378,31779,3.216296263535817,0,64600,16
2,in_the_wild,ours,transductive,ssl_aasist_wavefake,4.08511522382759,0.9900774264990096,95.55681424840304,31779,50.37173453569413,16706,64600,16
0,in_the_wild,source,transductive,deepfense_w2v2_aasist_s240,8.405482437702707,0.9696789220857503,68.71204254381824,31779,3.060618130366008,0,64000,16
0,in_the_wild,ours,transductive,deepfense_w2v2_aasist_s240,7.884371335786371,0.9734544643033078,88.90147581736367,31779,47.48855481942495,16706,64000,16
0,in_the_wild,source,transductive,ssl_aasist_wavefake,5.0366561686852585,0.9855620041626774,78.07671732905378,31779,3.2082765062650043,0,64600,16
0,in_the_wild,cons_only,transductive,ssl_aasist_wavefake,4.3532704172319345,0.9875240250658709,91.44403536926902,31779,46.921912554899855,16706,64600,16
0,in_the_wild,source,transductive,deepfense_w2v2_aasist_s42,16.41051093473502,0.9177615606475231,39.04150539664558,31779,3.0480748295783995,0,64000,16
0,in_the_wild,st_only,transductive,deepfense_w2v2_aasist_s42,11.992199745222639,0.9506209880289367,85.91522703672237,31779,32.61946761608124,16706,64000,16
0,in_the_wild,source,transductive,deepfense_w2v2_aasist_s42,16.41051093473502,0.9177615606475231,39.04150539664558,31779,3.0471553365389505,0,64000,16
0,in_the_wild,cons_only,transductive,deepfense_w2v2_aasist_s42,28.651444788634194,0.7937701631905281,37.19122691085308,31779,44.216294809182486,16706,64000,16
0,in_the_wild,source,inductive,deepfense_w2v2_aasist_s42,15.068719134491742,0.9278363350020304,38.860918816865954,15890,1.589375917116801,0,64000,16
0,in_the_wild,ours,inductive,deepfense_w2v2_aasist_s42,10.208124429277285,0.9594309527461665,88.53996224040277,15890,23.805123766263325,16706,64000,16
0,in_the_wild,source,transductive,deepfense_w2v2_aasist_s42,16.41051093473502,0.9177615606475231,39.04150539664558,31779,3.0402016480763754,0,64000,16
0,in_the_wild,tent,transductive,deepfense_w2v2_aasist_s42,49.80057851439517,0.5019942551302848,37.181786714496994,31779,20.894893972078957,16706,64000,16
0,in_the_wild,source,transductive,deepfense_w2v2_aasist_s2,9.59495148963972,0.9661237096177013,88.341357500236,31779,3.00399862130483,0,64000,16
0,in_the_wild,ours,transductive,deepfense_w2v2_aasist_s2,9.062872653271109,0.9695749679222065,89.20356210075836,31779,47.107023080190025,16706,64000,16
