corpus,ckpt,arm,seed,eval_sub,q,skew,rule,label,nominal,actual,purity,bound,n_adapt,pi_c,excess,wrong
itw,ssl_aasist_wavefake,source,0,0,0.3,0,bbse,1,0.3600916964,0.36065,0.9401081381,1,20000,0.37095,0,432
itw,ssl_aasist_wavefake,source,0,0,0.02,0.01,symmetric,0,0.02,0.020375,1,1,8000,0.989125,0,0
itw,ssl_aasist_wavefake,source,0,0,0.02,0.01,symmetric,1,0.02,0.020625,0.3333333333,0.5272727273,8000,0.010875,78,110
itw,ssl_aasist_wavefake,source,0,0,0.02,0.01,bbse,0,0.0256444218,0.026375,1,1,8000,0.989125,0,0
itw,ssl_aasist_wavefake,source,0,0,0.02,0.01,bbse,1,0.0143555782,0.014375,0.4,0.7565217391,8000,0.010875,28,69
itw,ssl_aasist_wavefake,source,0,0,0.02,0.02,symmetric,0,0.02,0.02075,1,1,8000,0.978625,0,0
itw,ssl_aasist_wavefake,source,0,0,0.02,0.02,symmetric,1,0.02,0.020125,0.6149068323,1,8000,0.021375,0,62
itw,ssl_aasist_wavefake,source,0,0,0.02,0.02,bbse,0,0.02524197657,0.02625,1,1,8000,0.978625,0,0
itw,ssl_aasist_wavefake,source,0,0,0.02,0.02,bbse,1,0.01475802343,0.015,0.6916666667,1,8000,0.021375,0,37
itw,ssl_aasist_wavefake,source,0,0,0.02,0.05,symmetric,0,0.02,0.0205,1,1,8000,0.951125,0,0
itw,ssl_aasist_wavefake,source,0,0,0.02,0.05,symmetric,1,0.02,0.020875,0.8323353293,1,8000,0.048875,0,28
itw,ssl_aasist_wavefake,source,0,0,0.02,0.05,bbse,0,0.02442180336,0.025875,1,1,8000,0.951125,0,0
itw,ssl_aasist_wavefake,source,0,0,0.02,0.05,bbse,1,0.01557819664,0.01675,0.8582089552,1,8000,0.048875,0,19
itw,ssl_aasist_wavefake,source,0,0,0.02,0.1,symmetric,0,0.02,0.020125,1,1,8000,0.9035,0,0
itw,ssl_aasist_wavefake,source,0,0,0.02,0.1,symmetric,1,0.02,0.021875,0.9314285714,1,8000,0.0965,0,12
itw,ssl_aasist_wavefake,source,0,0,0.02,0.1,bbse,0,0.02352012226,0.024,1,1,8000,0.9035,0,0
itw,ssl_aasist_wavefake,source,0,0,0.02,0.1,bbse,1,0.01647987774,0.018875,0.940397351,1,8000,0.0965,0,9
itw,ssl_aasist_wavefake,source,0,0,0.02,0.9,symmetric,0,0.02,0.020125,1,1,8000,0.097,0,0
itw,ssl_aasist_wavefake,source,0,0,0.02,0.9,symmetric,1,0.02,0.021875,1,1,8000,0.903,0,0
itw,ssl_aasist_wavefake,source,0,0,0.02,0.9,bbse,0,0.001879775853,0.002125,1,1,8000,0.097,0,0
itw,ssl_aasist_wavefake,source,0,0,0.02,0.9,bbse,1,0.03812022415,0.039,1,1,8000,0.903,0,0
itw,ssl_aasist_wavefake,source,0,0,0.02,0.95,symmetric,0,0.02,0.02,0.99375,1,8000,0.051625,0,1
itw,ssl_aasist_wavefake,source,0,0,0.02,0.95,symmetric,1,0.02,0.021,1,1,8000,0.948375,0,0
itw,ssl_aasist_wavefake,source,0,0,0.02,0.95,bbse,0,0.0006571574121,0.00075,1,1,8000,0.051625,0,0
itw,ssl_aasist_wavefake,source,0,0,0.02,0.95,bbse,1,0.03934284259,0.050125,1,1,8000,0.948375,0,0
itw,ssl_aasist_wavefake,source,0,0,0.02,0.97,symmetric,0,0.02,0.02,0.96875,1,8000,0.030125,0,5
itw,ssl_aasist_wavefake,source,0,0,0.02,0.97,symmetric,1,0.02,0.028625,1,1,8000,0.969875,0,0
itw,ssl_aasist_wavefake,source,0,0,0.02,0.97,bbse,0,6.622516556e-05,0.000125,1,1,8000,0.030125,0,0
itw,ssl_aasist_wavefake,source,0,0,0.02,0.97,bbse,1,0.03993377483,0.0525,1,1,8000,0.969875,0,0
