corpus,ckpt,arm,seed,eval_sub,q,skew,rule,setting,pi_hat,n,prior,eer,legacy_eer,auc,accuracy,balanced_accuracy,fpr,fnr,oracle_accuracy,threshold_gap,threshold,exact_one_pct,near_one_pct,largest_tie_pct,n_unique
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.02,0,bbse_quantile,disjoint_eval,0.9716006021,380435,0.9722659587,4.515640066,4.51519485,0.9922868153,98.88706349,88.18539908,23.14472562,0.4844762142,99.07053767,0.1834741809,0.4509344697,0,0,9.848988658,2693
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.02,0.01,median,available_pool,0.2448569995,11248,0.009957325747,4.464285714,4.468134236,0.9940772847,50.41785206,74.95959052,50.08081897,0,99.61770982,49.19985775,0.009936418384,0,0,0.8179231863,1485
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.02,0.01,median,disjoint_eval,0.2448569995,3248,0.01077586207,5.714285714,5.736072207,0.9892979414,49.93842365,74.69654528,50.60690943,0,99.59975369,49.66133005,0.009936418384,0,0,0.8928571429,850
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.02,0.01,bbse_quantile,available_pool,0.2448569995,11248,0.009957325747,4.464285714,4.468134236,0.9940772847,76.76920341,88.26778017,23.46443966,0,99.61770982,22.8485064,0.5759657025,0,0,0.8179231863,1485
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.02,0.01,bbse_quantile,disjoint_eval,0.2448569995,3248,0.01077586207,5.714285714,5.736072207,0.9892979414,77.49384236,88.62433862,22.75132275,0,99.59975369,22.10591133,0.5759657025,0,0,0.8928571429,850
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.02,0.1,median,available_pool,0.3089563472,12373,0.09997575366,4.636807877,4.643221254,0.9921618017,59.51668957,77.50987787,44.98024425,0,98.11686737,38.60017781,0.01115803048,0,0,1.074921199,1501
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.02,0.1,median,disjoint_eval,0.3089563472,4373,0.1051909444,4.565217391,4.531522572,0.9919529661,59.4328836,77.33197036,45.33605929,0,98.07912188,38.64623828,0.01115803048,0,0,1.097644638,939
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.02,0.1,bbse_quantile,available_pool,0.3089563472,12373,0.09997575366,4.636807877,4.643221254,0.9921618017,78.9460923,88.159978,23.35668103,0.3233629749,98.11686737,19.17077507,0.5659375191,0,0,1.074921199,1501
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.02,0.1,bbse_quantile,disjoint_eval,0.3089563472,4373,0.1051909444,4.565217391,4.531522572,0.9919529661,79.37342785,88.47431638,23.05136724,0,98.07912188,18.70569403,0.5659375191,0,0,1.097644638,939
df2021,deepfense_w2v2_aasist_s2,source,0,0,0.02,0.5,median,available_pool,0.6150275966,22272,0.5,4.62164751,4.63362069,0.9919080882,95.50556753,95.50556753,3.83441092,5.154454023,95.51005747,0.004489942529,0.9997040629,0,0,4.961386494,1568
