corpus,ckpt,seed,eval_sub,skew,setting,arm,n,n_pos,eer,eer_lo,eer_hi,d_vs_ref,d_lo,d_hi,d_vs_sym,dsym_lo,dsym_hi,B
df2021,deepfense_w2v2_aasist_s2,0,0,0.0,available_pool,Source,400435,389299,4.513105473305021,4.355308592290463,4.659225625416337,0.0,0.0,0.0,-1.3239125868160255,-1.5139241370861338,-1.1611650444713666,2000
df2021,deepfense_w2v2_aasist_s2,0,0,0.0,available_pool,Sym q=.3,400435,389299,5.837018060121047,5.612212063517839,6.080034640722569,1.3239125868160255,1.1611650444713664,1.5139241370861338,0.0,0.0,0.0,2000
df2021,deepfense_w2v2_aasist_s2,0,0,0.0,available_pool,BBSE,400435,389299,4.059963849906321,3.916892325096069,4.19703027583656,-0.4531416233987007,-0.5319225380382973,-0.3594482458802526,-1.7770542102147262,-1.9683615183000647,-1.6061354697075634,2000
df2021,deepfense_w2v2_aasist_s2,0,0,0.0,disjoint_eval,Source,380435,369884,4.5156400658790545,4.340967213372685,4.673545454887008,0.0,0.0,0.0,-1.3271120895133839,-1.5508887204646336,-1.1680172807037021,2000
df2021,deepfense_w2v2_aasist_s2,0,0,0.0,disjoint_eval,Sym q=.3,380435,369884,5.842752155392439,5.633014633431106,6.123069920034134,1.3271120895133839,1.1680172807037021,1.5508887204646336,0.0,0.0,0.0,2000
df2021,deepfense_w2v2_aasist_s2,0,0,0.0,disjoint_eval,BBSE,380435,369884,4.06839342712091,3.9114231990651396,4.214013335105196,-0.4472466387581454,-0.5383913562586933,-0.3479530466170692,-1.7743587282715294,-1.9956368158240712,-1.6086517714620159,2000
df2021,deepfense_w2v2_aasist_s2,1,50000,0.0,available_pool,Source,50000,48615,4.569598291738954,4.1744477817138055,4.928425087720948,0.0,0.0,0.0,-1.4994965598448324,-1.9543637294474367,-1.0875750491236131,2000
df2021,deepfense_w2v2_aasist_s2,1,50000,0.0,available_pool,Sym q=.3,50000,48615,6.069094851583786,5.529603021255453,6.5750379707740585,1.4994965598448324,1.087575049123613,1.9543637294474365,0.0,0.0,0.0,2000
df2021,deepfense_w2v2_aasist_s2,1,50000,0.0,available_pool,BBSE,50000,48615,4.313446908541387,3.819574302546581,4.758043655456571,-0.25615138319756703,-0.4970332691791075,0.016104360995838406,-1.7556479430423995,-2.2012616964897416,-1.3511743291218867,2000
df2021,deepfense_w2v2_aasist_s2,1,50000,0.0,disjoint_eval,Source,30000,29158,4.400533676849467,4.013120290308471,4.844372571795742,0.0,0.0,0.0,-1.6452599943622666,-2.1133342972008395,-1.0347851143678202,2000
df2021,deepfense_w2v2_aasist_s2,1,50000,0.0,disjoint_eval,Sym q=.3,30000,29158,6.045793671211733,5.269107830333975,6.641198858371217,1.6452599943622666,1.0347851143678186,2.1133342972008395,0.0,0.0,0.0,2000
df2021,deepfense_w2v2_aasist_s2,1,50000,0.0,disjoint_eval,BBSE,30000,29158,4.052801530825807,3.579779233281676,4.556692296905792,-0.34773214602365976,-0.6247698321054206,-0.03947533919243427,-1.992992140385926,-2.493094373903301,-1.3683178432220688,2000
df2021,deepfense_w2v2_aasist_s2,2,50000,0.0,available_pool,Source,50000,48615,4.569598291738954,4.1744477817138055,4.928425087720948,0.0,0.0,0.0,-1.702138898048585,-2.0541866307688257,-1.3652306493181543,2000
df2021,deepfense_w2v2_aasist_s2,2,50000,0.0,available_pool,Sym q=.3,50000,48615,6.271737189787539,5.776173285198556,6.668345068633727,1.702138898048585,1.365230649318154,2.0541866307688257,0.0,0.0,0.0,2000
df2021,deepfense_w2v2_aasist_s2,2,50000,0.0,available_pool,BBSE,50000,48615,4.373402913301775,3.9379714828125847,4.737481649675916,-0.1961953784371792,-0.4198816525568131,0.0406700933279483,-1.8983342764857642,-2.2392478123843826,-1.5327234617347456,2000
df2021,deepfense_w2v2_aasist_s2,2,50000,0.0,disjoint_eval,Source,30000,29161,4.722584006251625,4.290822407628129,5.420605465091665,0.0,0.0,0.0,-1.9485750233979728,-2.487156071770899,-1.4583648787277648,2000
df2021,deepfense_w2v2_aasist_s2,2,50000,0.0,disjoint_eval,Sym q=.3,30000,29161,6.671159029649598,6.1460146167708025,7.387293317621476,1.9485750233979728,1.4583648787277648,2.4871560717708983,0.0,0.0,0.0,2000
df2021,deepfense_w2v2_aasist_s2,2,50000,0.0,disjoint_eval,BBSE,30000,29161,4.670089943285568,4.2234317011675895,5.1169805227747975,-0.05249406296605752,-0.4418678525507784,0.18539421337669001,-2.0010690863640304,-2.5875812167031165,-1.5972029580984888,2000
df2021,deepfense_w2v2_aasist_s42,0,0,0.0,available_pool,Source,400435,389299,4.560814400252871,4.360677635358046,4.739231390146699,0.0,0.0,0.0,0.4620519750482256,0.3078373830299066,0.6114501694107463,2000
df2021,deepfense_w2v2_aasist_s42,0,0,0.0,available_pool,Sym q=.3,400435,389299,4.098762425204646,3.948678104995341,4.24329175664756,-0.4620519750482256,-0.6114501694107463,-0.30783738302990676,0.0,0.0,0.0,2000
df2021,deepfense_w2v2_aasist_s42,0,0,0.0,available_pool,BBSE,400435,389299,3.2992145771338555,3.1756540346367226,3.4262292011903055,-1.261599823119016,-1.3873763178081377,-1.1232068870916434,-0.7995478480707905,-0.9053365634448554,-0.6838128398165646,2000
df2021,deepfense_w2v2_aasist_s42,0,0,0.0,disjoint_eval,Source,380435,369884,4.543869042245306,4.352590587851659,4.722272758930174,0.0,0.0,0.0,0.45040264016234444,0.29653408868221076,0.606290180428942,2000
df2021,deepfense_w2v2_aasist_s42,0,0,0.0,disjoint_eval,Sym q=.3,380435,369884,4.093466402082962,3.9370316825610985,4.242395167007419,-0.45040264016234444,-0.606290180428942,-0.296534088682211,0.0,0.0,0.0,2000
df2021,deepfense_w2v2_aasist_s42,0,0,0.0,disjoint_eval,BBSE,380435,369884,3.2861864080590713,3.162684090884916,3.41418820090347,-1.257682634186235,-1.385998682631111,-1.1166778861089623,-0.8072799940238906,-0.9218859490861842,-0.6883909723918104,2000
df2021,deepfense_w2v2_aasist_s42,1,50000,0.0,available_pool,Source,50000,48615,4.4929261324989795,3.8897241202331867,4.982077522147022,0.0,0.0,0.0,0.2701056099552762,-0.2193826862167215,0.6778934897092104,2000
df2021,deepfense_w2v2_aasist_s42,1,50000,0.0,available_pool,Sym q=.3,50000,48615,4.222820522543704,3.846338235108189,4.495439630746591,-0.2701056099552762,-0.6778934897092108,0.21938268621672102,0.0,0.0,0.0,2000
df2021,deepfense_w2v2_aasist_s42,1,50000,0.0,available_pool,BBSE,50000,48615,3.322830965600046,3.002315059747543,3.768826041586067,-1.1700951668989337,-1.4427199441867127,-0.7020785242310782,-0.8999895569436576,-1.1216378175128565,-0.5347452342579005,2000
df2021,deepfense_w2v2_aasist_s42,1,50000,0.0,disjoint_eval,Source,30000,29158,4.641565562295848,3.8740077523828855,5.439793268287943,0.0,0.0,0.0,0.3065823274243811,-0.2765999785506769,0.9344583206688033,2000
df2021,deepfense_w2v2_aasist_s42,1,50000,0.0,disjoint_eval,Sym q=.3,30000,29158,4.3349832348714665,3.7991119059872887,4.720119104818329,-0.3065823274243811,-0.9344583206688036,0.27659997855067686,0.0,0.0,0.0,2000
df2021,deepfense_w2v2_aasist_s42,1,50000,0.0,disjoint_eval,BBSE,30000,29158,3.607898016749393,3.005866781615567,4.1153929811103325,-1.0336675455464546,-1.5713918072093793,-0.5466506337051298,-0.7270852181220734,-1.1660749718862295,-0.33985457745867553,2000
df2021,deepfense_w2v2_aasist_s42,2,50000,0.0,available_pool,Source,50000,48615,4.4929261324989795,3.8897241202331867,4.982077522147022,0.0,0.0,0.0,0.24344387768323802,-0.24305982211139565,0.6264529223252211,2000
df2021,deepfense_w2v2_aasist_s42,2,50000,0.0,available_pool,Sym q=.3,50000,48615,4.249482254815741,3.9109953982545416,4.641604893745344,-0.24344387768323802,-0.6264529223252214,0.24305982211139557,0.0,0.0,0.0,2000
df2021,deepfense_w2v2_aasist_s42,2,50000,0.0,available_pool,BBSE,50000,48615,3.22277197483355,2.8138602939193786,3.5965316688885287,-1.2701541576654298,-1.634358434776683,-0.8316882002472912,-1.0267102799821917,-1.3761728482585012,-0.7184214606024932,2000
df2021,deepfense_w2v2_aasist_s42,2,50000,0.0,disjoint_eval,Source,30000,29161,4.593349942300016,3.9357468527521142,5.3105586672147735,0.0,0.0,0.0,-0.05504099929712347,-0.5411130489319329,0.4984590130763181,2000
df2021,deepfense_w2v2_aasist_s42,2,50000,0.0,disjoint_eval,Sym q=.3,30000,29161,4.648390941597139,4.19235152404611,5.048821486201102,0.05504099929712347,-0.4984590130763183,0.5411130489319327,0.0,0.0,0.0,2000
df2021,deepfense_w2v2_aasist_s42,2,50000,0.0,disjoint_eval,BBSE,30000,29161,3.2770414707139817,2.8002055762800246,3.892032988556035,-1.3163084715860343,-1.7922038778990912,-0.7901616549476078,-1.3713494708831577,-1.7605232571072507,-0.886868895073407,2000
df2021,deepfense_w2v2_aasist_s240,0,0,0.0,available_pool,Source,400435,389299,3.8238752365187887,3.6341726207877754,3.9824922519282318,0.0,0.0,0.0,-0.8358397430624269,-0.9968171689475027,-0.6843347514041446,2000
df2021,deepfense_w2v2_aasist_s240,0,0,0.0,available_pool,Sym q=.3,400435,389299,4.659714979581215,4.517869464787775,4.779605082165136,0.8358397430624269,0.6843347514041445,0.9968171689475027,0.0,0.0,0.0,2000
df2021,deepfense_w2v2_aasist_s240,0,0,0.0,available_pool,BBSE,400435,389299,3.8031455690813143,3.6346448827805458,3.98331938691809,-0.02072966743747462,-0.14183614971719352,0.11952040516834403,-0.8565694104999015,-0.9859124809825679,-0.7134563520807697,2000
df2021,deepfense_w2v2_aasist_s240,0,0,0.0,disjoint_eval,Source,380435,369884,3.829770234500186,3.636873567750039,3.999217996726191,0.0,0.0,0.0,-0.8281760616550803,-0.9883633680839613,-0.672976178906932,2000
df2021,deepfense_w2v2_aasist_s240,0,0,0.0,disjoint_eval,Sym q=.3,380435,369884,4.657946296155266,4.4983705175512085,4.790647463945173,0.8281760616550803,0.672976178906932,0.9883633680839612,0.0,0.0,0.0,2000
df2021,deepfense_w2v2_aasist_s240,0,0,0.0,disjoint_eval,BBSE,380435,369884,3.832984865632131,3.6508988800513085,4.0363657649400615,0.0032146311319453114,-0.11663516008123083,0.15025360469473772,-0.824961430523135,-0.9436342468575893,-0.6651906739377789,2000
df2021,deepfense_w2v2_aasist_s240,1,50000,0.0,available_pool,Source,50000,48615,3.852453646072202,3.3952342668312165,4.210561091580465,0.0,0.0,0.0,-1.1294958124115524,-1.5288204597740587,-0.7849133736758678,2000
df2021,deepfense_w2v2_aasist_s240,1,50000,0.0,available_pool,Sym q=.3,50000,48615,4.981949458483754,4.561137006306045,5.357365176064253,1.1294958124115524,0.7849133736758666,1.5288204597740587,0.0,0.0,0.0,2000
df2021,deepfense_w2v2_aasist_s240,1,50000,0.0,available_pool,BBSE,50000,48615,3.829354689665796,3.2745690121060163,4.304790432471664,-0.023098956406406024,-0.3831827124875298,0.335215828469292,-1.1525947688179585,-1.6172019595588112,-0.7838825698447843,2000
df2021,deepfense_w2v2_aasist_s240,1,50000,0.0,disjoint_eval,Source,30000,29158,3.6880444195405233,3.299564923547548,4.147938059581417,0.0,0.0,0.0,-1.3000790958989068,-1.7814726840855104,-0.7574866084479939,2000
df2021,deepfense_w2v2_aasist_s240,1,50000,0.0,disjoint_eval,Sym q=.3,30000,29158,4.98812351543943,4.436998422979508,5.587518643922143,1.3000790958989068,0.7574866084479933,1.7814726840855104,0.0,0.0,0.0,2000
df2021,deepfense_w2v2_aasist_s240,1,50000,0.0,disjoint_eval,BBSE,30000,29158,3.570068874813969,3.1528352971678975,4.268049805615406,-0.11797554472655417,-0.4818838936867508,0.3817127241185873,-1.4180546406254608,-1.888434117119202,-0.8532339049163592,2000
df2021,deepfense_w2v2_aasist_s240,2,50000,0.0,available_pool,Source,50000,48615,3.852453646072202,3.3952342668312165,4.210561091580465,0.0,0.0,0.0,-1.201697978476534,-1.62065722793471,-0.8315474791192932,2000
df2021,deepfense_w2v2_aasist_s240,2,50000,0.0,available_pool,Sym q=.3,50000,48615,5.054151624548736,4.60610051453601,5.418350683594584,1.201697978476534,0.831547479119293,1.6206572279347096,0.0,0.0,0.0,2000
df2021,deepfense_w2v2_aasist_s240,2,50000,0.0,available_pool,BBSE,50000,48615,4.018783444359505,3.3724264222291107,4.43662681381071,0.1663297982873027,-0.24851273522931988,0.5278891161245562,-1.0353681801892314,-1.536266693791688,-0.6432501332118009,2000
df2021,deepfense_w2v2_aasist_s240,2,50000,0.0,disjoint_eval,Source,30000,29161,3.8703681496582334,3.443394619481268,4.410011918951132,0.0,0.0,0.0,-1.497042270066258,-1.9264748467811983,-0.9630913771875015,2000
df2021,deepfense_w2v2_aasist_s240,2,50000,0.0,disjoint_eval,Sym q=.3,30000,29161,5.367410419724491,4.754996345429208,5.883397789262876,1.497042270066258,0.9630913771875015,1.9264748467811983,0.0,0.0,0.0,2000
df2021,deepfense_w2v2_aasist_s240,2,50000,0.0,disjoint_eval,BBSE,30000,29161,4.1265736645117395,3.4564958283671037,4.767622787561958,0.25620551485350596,-0.27530671916571375,0.7151370679380209,-1.2408367552127522,-1.7534554856320654,-0.6936642541270446,2000
itw,deepfense_w2v2_aasist_s2,0,0,0.0,available_pool,Source,31779,11816,9.643307718775091,9.320986681658004,9.978210486106018,0.0,0.0,0.0,-0.06474186338564225,-0.18751167498733512,0.09692490663592553,2000
itw,deepfense_w2v2_aasist_s2,0,0,0.0,available_pool,Sym q=.3,31779,11816,9.708049582160733,9.361013478465226,10.040275003031589,0.06474186338564225,-0.09692490663592554,0.187511674987335,0.0,0.0,0.0,2000
itw,deepfense_w2v2_aasist_s2,0,0,0.0,available_pool,BBSE,31779,11816,9.888288653011653,9.532766334821618,10.225755641944335,0.24498093423656192,0.08346959650122783,0.36602386347460036,0.18023907085091967,0.09080893780115437,0.2714560680850217,2000
itw,deepfense_w2v2_aasist_s2,0,0,0.0,disjoint_eval,Source,11779,4397,9.726361419669466,9.143863451639122,10.281766458954213,0.0,0.0,0.0,-0.053033622404680125,-0.24565527199730935,0.22984081597952044,2000
itw,deepfense_w2v2_aasist_s2,0,0,0.0,disjoint_eval,Sym q=.3,11779,4397,9.779395042074146,9.1879932852422,10.26402920451651,0.053033622404680125,-0.22984081597952052,0.24565527199730897,0.0,0.0,0.0,2000
itw,deepfense_w2v2_aasist_s2,0,0,0.0,disjoint_eval,BBSE,11779,4397,9.905204793417992,9.360606881603902,10.452043827610387,0.17884337374852594,-0.05278966227224245,0.41607667647576857,0.1258097513438458,0.03289641403414197,0.33666800900125105,2000
itw,deepfense_w2v2_aasist_s42,0,0,0.0,available_pool,Source,31779,11816,16.5799703670664,16.103777574311128,17.03190022435082,0.0,0.0,0.0,3.995826424527915,3.6405113692097113,4.315583971375025,2000
itw,deepfense_w2v2_aasist_s42,0,0,0.0,available_pool,Sym q=.3,31779,11816,12.584143942538487,12.18678878882754,13.011204252334352,-3.995826424527915,-4.315583971375025,-3.6405113692097113,0.0,0.0,0.0,2000
itw,deepfense_w2v2_aasist_s42,0,0,0.0,available_pool,BBSE,31779,11816,14.541245126099033,14.117159652601503,14.965118765700552,-2.0387252409673677,-2.3622071220044134,-1.6875358435809218,1.9571011835605474,1.6600629891594036,2.2061087203099725,2000
itw,deepfense_w2v2_aasist_s42,0,0,0.0,disjoint_eval,Source,11779,4397,16.40323274947404,15.655198306954384,17.171429381307846,0.0,0.0,0.0,4.144874778129937,3.62495332412113,4.760499164968094,2000
itw,deepfense_w2v2_aasist_s42,0,0,0.0,disjoint_eval,Sym q=.3,11779,4397,12.258357971344102,11.500924202482215,12.917898567204912,-4.144874778129937,-4.760499164968095,-3.62495332412113,0.0,0.0,0.0,2000
itw,deepfense_w2v2_aasist_s42,0,0,0.0,disjoint_eval,BBSE,11779,4397,14.06946813923558,13.387117163291206,14.83761680027795,-2.3337646102384593,-2.8474822034779996,-1.7597371355768,1.8111101678914776,1.4233097553491563,2.3106436623580144,2000
