corpus,ckpt,q,skew,seed,setting,prior,worst_purity,n_adapt,delta,excess,wrong,ba_source,ba_adapted,d_ba
df2021,deepfense_w2v2_aasist_s2,0.3,0.9,0,available_pool,0.9,0.3336109954,8000,0.199625,1597,1600,88.2298651,86.33461047,-1.89525463
df2021,deepfense_w2v2_aasist_s2,0.3,0.9,0,disjoint_eval,0.9000386997,0.3336109954,8000,0.199625,1597,1600,88.19859514,86.32552251,-1.873072621
df2021,deepfense_w2v2_aasist_s240,0.3,0,0,available_pool,0.9721902431,0.09594882729,20000,0.2756,5512,5512,87.0085687,82.11786331,-4.890705391
df2021,deepfense_w2v2_aasist_s240,0.3,0,0,disjoint_eval,0.9722659587,0.09594882729,20000,0.2756,5512,5512,86.95642224,82.13385051,-4.822571736
df2021,deepfense_w2v2_aasist_s42,0.3,0,0,available_pool,0.9721902431,0.08173279125,20000,0.3274,6548,6551,78.3524352,80.35160635,1.999171145
df2021,deepfense_w2v2_aasist_s42,0.3,0,0,disjoint_eval,0.9722659587,0.08173279125,20000,0.3274,6548,6551,78.29983929,80.36235685,2.062517553
itw,deepfense_w2v2_aasist_s2,0.3,0,0,available_pool,0.3718178671,0.9472808914,20000,0,0,355,89.55569263,87.88094531,-1.674747318
itw,deepfense_w2v2_aasist_s2,0.3,0,0,disjoint_eval,0.3732914509,0.9472808914,20000,0,0,355,89.54379162,87.82815979,-1.715631831
itw,deepfense_w2v2_aasist_s240,0.3,0,0,available_pool,0.3718178671,0.947892466,20000,0,0,356,75.12781241,90.24845444,15.12064203
itw,deepfense_w2v2_aasist_s240,0.3,0,0,disjoint_eval,0.3732914509,0.947892466,20000,0,0,356,75.41746032,90.45083169,15.03337138
itw,deepfense_w2v2_aasist_s42,0.02,0.01,0,available_pool,0.01001735681,0.3072289157,8000,0.009875,79,115,51.53033111,57.07558984,5.545258729
itw,deepfense_w2v2_aasist_s42,0.02,0.01,0,disjoint_eval,0.009453349774,0.3072289157,8000,0.009875,79,115,51.52282158,57.05809129,5.53526971
itw,deepfense_w2v2_aasist_s42,0.02,0.97,0,available_pool,0.9700353009,0.36875,8000,0,0,101,51.21595051,73.26792786,22.05197735
itw,deepfense_w2v2_aasist_s42,0.02,0.97,0,disjoint_eval,0.9703420234,0.36875,8000,0,0,101,50.37857705,71.47333959,21.09476254
itw,deepfense_w2v2_aasist_s42,0.15,0.01,0,available_pool,0.01001735681,0.05381526104,8000,0.14475,1158,1179,51.53033111,66.22424753,14.69391642
itw,deepfense_w2v2_aasist_s42,0.15,0.01,0,disjoint_eval,0.009453349774,0.05381526104,8000,0.14475,1158,1179,51.52282158,66.07324553,14.55042396
itw,deepfense_w2v2_aasist_s42,0.15,0.97,0,available_pool,0.9700353009,0.1445086705,8000,0.12125,970,1036,51.21595051,85.50710205,34.29115154
itw,deepfense_w2v2_aasist_s42,0.15,0.97,0,disjoint_eval,0.9703420234,0.1445086705,8000,0.12125,970,1036,50.37857705,86.61383749,36.23526044
itw,deepfense_w2v2_aasist_s42,0.3,0,0,available_pool,0.3718178671,0.9025032938,20000,0,0,882,51.50589101,84.20267004,32.69677903
itw,deepfense_w2v2_aasist_s42,0.3,0,0,disjoint_eval,0.3732914509,0.9025032938,20000,0,0,882,51.55082216,84.16586529,32.61504313
itw,deepfense_w2v2_aasist_s42,0.3,0.01,0,available_pool,0.01001735681,0.03076292043,8000,0.293875,2351,2364,51.53033111,71.64307186,20.11274075
itw,deepfense_w2v2_aasist_s42,0.3,0.01,0,disjoint_eval,0.009453349774,0.03076292043,8000,0.293875,2351,2364,51.52282158,71.4111492,19.88832762
itw,deepfense_w2v2_aasist_s42,0.3,0.97,0,available_pool,0.9700353009,0.09446911587,8000,0.2795,2236,2244,51.21595051,82.05191938,30.83596887
itw,deepfense_w2v2_aasist_s42,0.3,0.97,0,disjoint_eval,0.9703420234,0.09446911587,8000,0.2795,2236,2244,50.37857705,82.09615797,31.71758092
itw,ssl_aasist_wavefake,0.02,0.01,0,available_pool,0.01001735681,0.3333333333,8000,0.00975,78,110,82.68797275,92.36169835,9.6737256
itw,ssl_aasist_wavefake,0.02,0.01,0,disjoint_eval,0.009453349774,0.3333333333,8000,0.00975,78,110,82.65145228,92.87894642,10.22749414
itw,ssl_aasist_wavefake,0.02,0.02,0,available_pool,0.01998036328,0.6149068323,8000,0,0,62,82.71051445,92.92626248,10.21574803
itw,ssl_aasist_wavefake,0.02,0.02,0,disjoint_eval,0.01907841552,0.6149068323,8000,0,0,62,82.78803362,92.90748366,10.11945004
itw,ssl_aasist_wavefake,0.02,0.05,0,available_pool,0.0500142762,0.8323353293,8000,0,0,28,82.61284804,93.70974743,11.09689939
itw,ssl_aasist_wavefake,0.02,0.05,0,disjoint_eval,0.05071461503,0.8323353293,8000,0,0,28,82.77885705,93.2567663,10.47790925
itw,ssl_aasist_wavefake,0.02,0.1,0,available_pool,0.09999549164,0.9314285714,8000,0,0,12,82.68045772,93.9711347,11.29067698
itw,ssl_aasist_wavefake,0.02,0.1,0,disjoint_eval,0.1019674212,0.9314285714,8000,0,0,12,82.52137003,93.95096664,11.42959661
itw,ssl_aasist_wavefake,0.02,0.9,0,available_pool,0.8999923833,1,8000,0,0,0,82.74942557,93.67431551,10.92488995
itw,ssl_aasist_wavefake,0.02,0.9,0,disjoint_eval,0.8953012283,1,8000,0,0,0,82.65978724,93.9076501,11.24786285
itw,ssl_aasist_wavefake,0.02,0.95,0,available_pool,0.9499919601,0.99375,8000,0,0,1,83.56743377,92.48597738,8.918543606
itw,ssl_aasist_wavefake,0.02,0.95,0,disjoint_eval,0.9529067147,0.99375,8000,0,0,1,85.39487544,93.71173748,8.316862041
itw,ssl_aasist_wavefake,0.02,0.97,0,available_pool,0.9700353009,0.96875,8000,0,0,5,83.52355988,93.29820953,9.774649651
itw,ssl_aasist_wavefake,0.02,0.97,0,disjoint_eval,0.9703420234,0.96875,8000,0,0,5,86.25334945,93.82489047,7.571541024
itw,ssl_aasist_wavefake,0.06,0.01,0,available_pool,0.01001735681,0.1683991684,8000,0.04925,394,400,82.68797275,94.5174563,11.82948355
itw,ssl_aasist_wavefake,0.06,0.01,0,disjoint_eval,0.009453349774,0.1683991684,8000,0.04925,394,400,82.65145228,94.22352517,11.57207288
itw,ssl_aasist_wavefake,0.06,0.01,1,available_pool,0.01001735681,0.1891891892,8000,0.048125,385,390,82.68797275,94.8530772,12.16510445
itw,ssl_aasist_wavefake,0.06,0.01,1,disjoint_eval,0.0087135224,0.1891891892,8000,0.048125,385,390,82.62293723,94.98178766,12.35885043
itw,ssl_aasist_wavefake,0.06,0.01,2,available_pool,0.01001735681,0.1801242236,8000,0.048875,391,396,82.68797275,94.70193125,12.0139585
itw,ssl_aasist_wavefake,0.06,0.01,2,disjoint_eval,0.009042334566,0.1801242236,8000,0.048875,391,396,82.6171713,94.71098375,12.09381245
itw,ssl_aasist_wavefake,0.08,0.97,0,available_pool,0.9700353009,0.365474339,8000,0.05025,402,408,83.52355988,95.07032489,11.54676501
itw,ssl_aasist_wavefake,0.08,0.97,0,disjoint_eval,0.9703420234,0.365474339,8000,0.05025,402,408,86.25334945,94.96976552,8.716416071
itw,ssl_aasist_wavefake,0.08,0.97,1,available_pool,0.9700353009,0.3510140406,8000,0.050625,405,416,83.52355988,95.09994574,11.57638586
itw,ssl_aasist_wavefake,0.08,0.97,1,disjoint_eval,0.9691461373,0.3510140406,8000,0.050625,405,416,83.67157189,95.82415039,12.1525785
itw,ssl_aasist_wavefake,0.08,0.97,2,available_pool,0.9700353009,0.3588143526,8000,0.050875,407,411,83.52355988,95.25228156,11.72872168
itw,ssl_aasist_wavefake,0.08,0.97,2,disjoint_eval,0.9686677828,0.3588143526,8000,0.050875,407,411,82.79973612,94.01856564,11.21882952
itw,ssl_aasist_wavefake,0.1,0.01,0,available_pool,0.01001735681,0.1073657928,8000,0.08925,714,715,82.68797275,92.05029304,9.362320293
itw,ssl_aasist_wavefake,0.1,0.01,0,disjoint_eval,0.009453349774,0.1073657928,8000,0.08925,714,715,82.65145228,91.95850622,9.307053942
itw,ssl_aasist_wavefake,0.1,0.02,0,available_pool,0.01998036328,0.2062111801,8000,0.07925,634,639,82.71051445,91.80221124,9.091696789
itw,ssl_aasist_wavefake,0.1,0.02,0,disjoint_eval,0.01907841552,0.2062111801,8000,0.07925,634,639,82.78803362,91.75698346,8.968949834
itw,ssl_aasist_wavefake,0.1,0.05,0,available_pool,0.0500142762,0.463840399,8000,0.051375,411,430,82.61284804,94.57530685,11.96245881
itw,ssl_aasist_wavefake,0.1,0.05,0,disjoint_eval,0.05071461503,0.463840399,8000,0.051375,411,430,82.77885705,94.74527941,11.96642236
itw,ssl_aasist_wavefake,0.1,0.1,0,available_pool,0.09999549164,0.7816377171,8000,0.00425,34,176,82.68045772,94.49714049,11.81668277
itw,ssl_aasist_wavefake,0.1,0.1,0,disjoint_eval,0.1019674212,0.7816377171,8000,0.00425,34,176,82.52137003,94.43203052,11.9106605
itw,ssl_aasist_wavefake,0.1,0.9,0,available_pool,0.8999923833,0.85625,8000,0.003,24,115,82.74942557,94.99433688,12.24491131
itw,ssl_aasist_wavefake,0.1,0.9,0,disjoint_eval,0.8953012283,0.85625,8000,0.003,24,115,82.65978724,95.18521402,12.52542678
itw,ssl_aasist_wavefake,0.1,0.95,0,available_pool,0.9499919601,0.4869888476,8000,0.04925,394,414,83.56743377,94.60081376,11.03337999
itw,ssl_aasist_wavefake,0.1,0.95,0,disjoint_eval,0.9529067147,0.4869888476,8000,0.04925,394,414,85.39487544,95.33060063,9.935725188
itw,ssl_aasist_wavefake,0.1,0.97,0,available_pool,0.9700353009,0.295143213,8000,0.07025,562,566,83.52355988,93.73630833,10.21274844
itw,ssl_aasist_wavefake,0.1,0.97,0,disjoint_eval,0.9703420234,0.295143213,8000,0.07025,562,566,86.25334945,93.24435265,6.991003204
itw,ssl_aasist_wavefake,0.11,0.01,0,available_pool,0.01001735681,0.09739524349,8000,0.0995,796,797,82.68797275,90.63517507,7.947202324
itw,ssl_aasist_wavefake,0.11,0.01,0,disjoint_eval,0.009453349774,0.09739524349,8000,0.0995,796,797,82.65145228,90.58091286,7.929460581
itw,ssl_aasist_wavefake,0.13,0.97,0,available_pool,0.9700353009,0.2261450382,8000,0.100875,807,812,83.52355988,91.67554326,8.15198338
itw,ssl_aasist_wavefake,0.13,0.97,0,disjoint_eval,0.9703420234,0.2261450382,8000,0.100875,807,812,86.25334945,91.22315472,4.969805275
itw,ssl_aasist_wavefake,0.15,0.01,0,available_pool,0.01001735681,0.07243963364,8000,0.13925,1114,1114,82.68797275,85.33036117,2.642388419
